,0,1,2,3
590,l'hospital's rule,SOCI 142,Social Deviance,"This course studies the major forms of behavior seen as rule violations by large segments of our society and analyzes the major theories trying to explain them, as well as processes of rulemaking, rule enforcing, techniques of neutralization, stigmatization and status degradation, and rule change."
591,l'hospital's rule,PHIL 50,Law and Society,"A survey of philosophical issues concerning law and society, such as the rule of law, the moral limits of the law, individual rights, judicial review in a constitutional democracy, the justification of punishment, and responsibility."
592,l'hospital's rule,LTEA 141,Modern Korean Literature in Translation from 1945 to Present,"A survey of modern Korean prose fiction and poetry from 1945 to the 1990s. Examination of literary representations of national division, the Korean War, accelerated industrialization, authoritarian rule, and the labor/agrarian movements."
593,l'hospital's rule,HIEA 131,"China in War and Revolution, 1911–1949","An exploration of the formative period of the twentieth-century Chinese Revolution: the New Culture Movement, modern urban culture, the nature of Nationalist (Guomindang) rule, war with Japan, revolutionary nationalism, and the Chinese Communist rise to power."
594,l'hospital's rule,COGR 239,Computer Game Studies,"Course considers computer games as media, rule systems, technology, and sites of communication. Approaches include hands-on play and reading material from a variety of disciplinary perspectives. Course encompasses both commercial games and the longer, more diverse academic and independent traditions."
595,language models,LIGN 252,Advanced Probabilistic Models of Language,"Probabilistic techniques for data analysis and modeling of linguistics cognition. Hierarchical (mixed-effects) regression, graphical models, Bayesian methods, latent-variable models, nonparametric models, probabilistic grammars. Course covers both mathematical foundations and working with datasets using state-of-the-art computational tools. Recommended prerequisite: LIGN 251 or equivalent course with emphasis on probabilistic methods in linguistics."
596,language models,CSE 156,Statistical Natural Language Processing,"Natural language processing (NLP) is a field of AI which aims to equip computers with the ability to intelligently process natural (human) language. This course will explore statistical techniques for the automatic analysis of natural language data. Specific topics covered include probabilistic language models, which define probability distributions over text passages; text classification; sequence models; parsing sentences into syntactic representations; and machine translation."
597,language models,LIGN 251,Probabilistic Methods in Linguistics,"Probabilistic approaches to language knowledge, acquisition, and use. Quantitative analysis of linguistic data. Quantitative models in linguistic theory. Covers basic probability theory and tools of statistical analysis for language, including linear regression, ANOVA, generalized linear models (e.g., logistic regression), data visualization. Familiarity with probability theory highly encouraged."
598,language models,LIGN 155,Evolution of Language,"History of thought on language origins, genetic, neural, anatomical, and gestural theories of language evolution in relation to prior hominid and other species, the role of generational differences in language acquisition, and computational models."
599,language models,CSE 237D,Design Automation and Prototyping for Embedded Systems,System representation and modeling. Abstract and language models. Simulation as a modeling activity. Computational and hw/sw system prototypes. System analysis using models. Constraint and interface modeling. Behavioral compilation and synthesis.
600,large code bases,COGS 154,Communication Disorders in Children and Adults,"Neural bases of language use in normal adults, and neural bases of language and communication development in normal children. Evidence on the language and communication deficits in adults (especially aphasia and dementia) and children (specific language impairment, focal brain injury, retardation, and autism)."
601,large code bases,BGGN 240,Neural Data Science,"Project-based course in which students will use computational notebooks to perform exploratory data analyses and to test hypotheses in large neuroscience data sets, including the differences between unique neuron types, leveraging text mining of the neuroscience literature, and human neuroimaging analyses. Enrollment restricted to MS students only in the following major code: BI84, BI87. May be coscheduled with BIPN 162."
602,large code bases,MATH 18,Linear Algebra,"Matrix algebra, Gaussian elimination, determinants. Linear and affine subspaces, bases of Euclidean spaces. Eigenvalues and eigenvectors, quadratic forms, orthogonal matrices, diagonalization of symmetric matrices. Applications. Computing symbolic and graphical solutions using MATLAB. Students may not receive credit for both MATH 18 and 31AH."
603,large code bases,COGS 229,Design at Large,"(Cross-listed with CSE 219.) New societal challenges, cultural values, and technological opportunities are changing design, and vice versa. The seminar explores this increased scale, real-world engagement, and disruptive impact. Invited speakers from UC San Diego and beyond share cutting-edge research on interaction, design, and learning. S/U grades only. May be taken for credit up to eighteen times."
604,large code bases,CSE 219,Design at Large,"New societal challenges, cultural values, and technological opportunities are changing design—and vice versa. The seminar explores this increased scale, real-world engagement, and disruptive impact. Invited speakers from UC San Diego and beyond share cutting-edge research on interaction, design, and learning. Cross-listed with COGS 229. (S/U grades only.)"
605,latin,LATI 298,Directed Reading,"Guided and supervised reading of the literature of the several areas included in the interdisciplinary fields of anthropology, communications, economics, history, literature, political science, and sociology."
606,latin,LTLA 1,Beginning Latin,"Study of Latin, including grammar and reading."
607,latin,LTLA 2,Intermediate Latin (I),"Study of Latin, including grammar and reading."
608,latin,LTLA 3,Intermediate Latin (II),"Study of Latin, including grammar and reading."
609,latin,LATI 50,Introduction to Latin America,"Interdisciplinary overview of society and culture in Latin America—including Mexico, the Caribbean, and South America: legacies of conquest, patterns of economic development, changing roles of women, expressions of popular culture, cycles of political change, and US-Latin American relations."
610,latin american history,LATI 298,Directed Reading,"Guided and supervised reading of the literature of the several areas included in the interdisciplinary fields of anthropology, communications, economics, history, literature, political science, and sociology."
611,latin american history,HILA 124A,History of Women and Gender in Latin America,"A broad historical overview of Latin American women’s history focusing on issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana women’s history."
612,latin american history,HILA 261,History of Women in Latin America,"A broad historical overview of Latin American women’s history of focusing on the issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana women’s history."
613,latin american history,HILA 161,History of Women in Latin America,"A broad historical overview of Latin American women’s history of focusing on the issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana women’s history."
614,latin american history,LATI 199,Individual Study,"Guided and supervised reading of the literature on Latin America in the interdisciplinary areas of anthropology, communications, economics, history, literature, political science, and sociology. For students majoring in Latin American Studies, reading will focus around potential topics for senior papers; for honors students in Latin American Studies, reading will culminate in formulation of a prospectus for the research thesis."
615,law,PHYS 4C,Physics for Physics Majors—Electricity and Magnetism,"Continuation of PHYS 4B covering charge and Coulomb’s law, electric field, Gauss’s law, electric potential, capacitors and dielectrics, current and resistance, magnetic field, Ampere’s law, Faraday’s law, inductance, AC circuits."
616,law,PHIL 50,Law and Society,"A survey of philosophical issues concerning law and society, such as the rule of law, the moral limits of the law, individual rights, judicial review in a constitutional democracy, the justification of punishment, and responsibility."
617,law,HILD 50,Introduction to Law and Society,"A survey of contemporary issues concerning law and society, with emphasis on historical analysis and context. Satisfies the lower-division requirement for the law and society minor."
618,law,PHYS 2B,Physics—Electricity and Magnetism,"Continuation of PHYS 2A covering charge and matter, the electric field, Gauss’s law, electric potential, capacitors and dielectrics, current and resistance, electromotive force and circuits, the magnetic field, Ampere’s law, Faraday’s law, inductance, electromagnetic oscillations, alternating currents and Maxwell’s equations. Students continuing to PHYS 2C will also need MATH 20C or 31BH."
619,law,ECON 118,"Law and Economics: Torts, Property, and Crime","Uses economic theory to evaluate the economic effects of US law in several legal fields, including tort law (accidents), products liability law, property law, criminal law (law enforcement), and litigation. Also considers risk bearing and why people buy insurance."
620,learning sciences,EDS 105,Teaching and Learning Physics,"How people learn and understand key concepts in physics. Readings in physics, physics education research, and cognitive science. Useful for students interested in teaching and learning physical sciences."
621,learning sciences,PHYS 180,Teaching and Learning Physics,"How people learn and understand key concepts in physics. Readings in physics, physics education research, and cognitive science. Useful for students interested in teaching and learning physical sciences."
622,learning sciences,ESYS 90,Perspectives on Environmental Issues,"Provides an introduction to environmental systems. Faculty members from departments in the natural sciences, geosciences, and social sciences will offer perspectives in these areas."
623,learning sciences,MAE 05,Quantitative Computer Skills,"Introductory course for nonengineering majors. Use of computers in solving problems; applications from life sciences, physical sciences, and engineering. Students run existing computer programs and complete some programming in BASIC."
624,learning sciences,BISP 182,Cooperative Education and Analysis,Students participating in the Biological Sciences Co-Op Program will meet with course instructors and fellow students to discuss their learning outcomes and progress of projects they are assigned at their co-op position with a life sciences company. May be taken for credit up to three times. Students give a presentation outlining their co-op project and complete a written assignment designed to evaluate their co-op experience.
625,learning sign language,LISL 1E,Intermediate American Sign Language Conversation,Course aims to improve language skills through discussion of topics relevant to the Deaf community. Central topics will include education and American Sign Language (ASL) literature. Conducted entirely in American Sign Language.
626,learning sign language,LIGN 148,The Psycholinguistics of Gesture and Sign Languages,"The study of how sign languages are structured, and how they are understood and produced by adults. Topics include the contrast between gesture and language, sign language acquisition, brain processing, sociolinguistics, and the role of sign language in reading."
627,learning sign language,LIGN 280,Sign Language Research,"An overview of sign language research in terms of how it informs language theory. Topics include the structure of ASL, acquisition, psycholinguistic and neurolinguistic processing of sign language in comparison to spoken language, critical period effects, and language evolution."
628,learning sign language,LIGN 4,Language as a Cognitive System,"Fundamental issues in language and cognition. Differences between animal communication, sign systems, and human language; origins and evolution of language; neural basis of language; language acquisition in children and adults."
629,learning sign language,LISL 1A,American Sign Language Conversation,Small tutorial meetings with a signer of American Sign Language (ASL). Conversational practice organized around common everyday communicative situations. Must be taken with LISL 1AX.
630,lgbt,POLI 135,Comparative LGBT Politics,"This course is designed to expose students to the study of LGBT politics, focusing specifically on the formation of LGBT movements, the presence (or absence) of political opportunities to advance their desired goals, as well as their political success (or lack thereof). Although the course will initially examine the US LGBT movement, the course will also examine the formation (and political success/failure) of LGBT movements in other democratic political systems."
631,lgbt,HITO 265,Topics—LGBT History,"Topics will examine lesbian, gay, bisexual, transgender, and queer identities, communities, culture, and politics. May be repeated for credit two times, provided each course is a separate topic, for a maximum of twelve units."
632,lgbt,HITO 165,Topics—LGBT History,"Topics will examine lesbian, gay, bisexual, transgender, and queer identities, communities, culture, and politics. May be repeated for credit two times, provided each course is a separate topic, for a maximum of twelve units."
633,lgbt,LTCO 201,Theories and Methods of Literary Analysis,"Contemporary theories of the significance of literary form. The seminar will concentrate on major interpretive approaches drawn from several areas of literary, cultural, and political analysis, including Marxist theory, feminism, psychoanalytic theory, postcolonial studies, LGBT studies, diaspora studies, and others. The particular focus and approach may vary. May be taken for credit up to three times as topics vary. Restricted to major code LT77 or consent of instructor and department. Nongraduate students may enroll with consent of instructor."
634,lgbt,NO RESULTS,NO RESULTS,NO RESULTS
635,linguistic,ANTH 241,Linguistic Anthropology Workshop,"A forum for presenting and discussing linguistic anthropological research in progress and new work in the field. Forum will present work by faculty, guests, and students. It will be offered quarterly. The course may be repeated with instructor’s permission."
636,linguistic,PHIL 234,Philosophy of Language,"Central issues in contemporary philosophy of language, such as the nature of linguistic meaning, truth, content, reference, the syntax and semantics of various linguistic constructions, presupposition, speech acts, the epistemology of language understanding and language learning, the mental/psychological basis of linguistic understanding and use. May be taken for credit six times with changed content."
637,linguistic,LIGN 175,Sociolinguistics,"The study of language in its social context, with emphasis on the different types of linguistic variation and the principles underlying them. Dialects, registers, gender-based linguistic differences, multilingualism, pidginization and creolization, factors influencing linguistic choice, formal models of variation; emphasis is given both to socially determined differences within the United States and US ethnic groups and to cross-cultural differences in language use and variation."
638,linguistic,LIGN 154,Language and Consciousness,"Origins of linguistic analysis (phonetics, phonology, morphology, thematic and grammatical relations, lexical semantics) in ancient India, history of naturalism vs. conventionalism, sound symbolism, relationship of language with myth and ritual, linguistic relativism, physical effects of language, metaphysical approaches to language."
639,linguistic,ANTH 280F,Core Seminar in Linguistic Anthropology,"Examines the theoretical and methodological foundations and principal research questions of linguistic anthropology, providing the fundamentals for graduate study in this area. Required for students specializing in linguistic anthropology and open to other students. Course formerly numbered as ANTH 263. Students will not receive credit for both ANTH 263 and ANTH 280F."
640,love,PHIL 60,Philosophy of Love and Sex,"This course will focus on philosophical topics surrounding love and sex by examining both historical and contemporary texts. We will discuss love and sex from a number of different angles and perspectives, and focus on issues such as the nature of love both as a mental and social phenomenon; different kinds of love and their demands on us; the connection between love and sex; the ethics and politics of love, sex, and marriage; and sex and consent."
641,love,ANSC 132,Sex and Love,"What is love? This course explores evolutionary, historical, philosophical, physiological, psychological, sociological, political-economic, and anthropological perspectives on love. We examine how love has evolved, study various aspects considered biological or cultural, and address contemporary debates around the nature and uses of love, including topics such as monogamy, arranged marriage, companionship, interracial relationships, and online dating."
642,love,ANTH 266,Anthropology of Love,"This course interrogates the association of romantic love with modernity, egalitarianism, and choice. The focus is on how cultural political economy shapes desires and structures relationships. We consider how race, class, nation, gender, and sexuality reinforce or undermine status hierarchies. For example, we examine the concept of racial and transnational hypergamy, in which women, men, and trans people from lower status ethnic groups and developing countries “marry up.”"
643,love,PSYC 158,Interpersonal Relationships,"This course provides an examination of theories and empirical work pertaining to interpersonal relationships. Topics include attraction, jealousy, attachments, and love."
644,love,MAE 167,Wave Dynamics in Materials,Pressure and shear waves in infinite solids. Reflection and diffraction. Rayleigh and Love waves in semi-infinite space. Impulse load on a half space. Waveguides and group velocity.
645,machine,DSC 240,Machine Learning,"A graduate level course in machine learning algorithms: decision trees, principal component analysis, k-means, clustering, logistic regression, random forests, boosting, neural networks, kernel methods, deep learning."
646,machine,DSE 220,Machine Learning,"This course provides a broad introduction to the practical side of machine learning and data analysis. The topics covered in this class include topics in supervised learning, such as k-nearest neighbor classifiers, decision trees, boosting and perceptrons, and topics in unsupervised learning, such as k-means, PCA, and Gaussian mixture models."
647,machine,COGS 185,Advanced Machine Learning Methods,This course is an advanced seminar and project course that follows the introduction to machine learning courses. Advanced and new machine learning methods will be discussed and used.
648,machine,ECE 175A,Elements of Machine Intelligence: Pattern Recognition and Machine Learning,Introduction to pattern recognition and machine learning. Decision functions. Statistical pattern classifiers. Generative vs. discriminant methods for pattern classification. Feature selection. Regression. Unsupervised learning. Clustering. Applications of machine learning.
649,machine,CSE 251C,Principles of Machine Learning: Machine Learning Theory,"(Formerly CSE 250C.) Theoretical foundations of machine learning. Topics include concentration of measure, the PAC model, uniform convergence bounds, and VC dimension. Possible topics include online learning, learning with expert advice, multiarmed bandits, and boosting. Renumbered from CSE 250C. Students may not receive credit for CSE 251C and CSE 250C. Recommended preparation: CSE 103 and CSE 101 or similar course."
650,machine learning,DSC 240,Machine Learning,"A graduate level course in machine learning algorithms: decision trees, principal component analysis, k-means, clustering, logistic regression, random forests, boosting, neural networks, kernel methods, deep learning."
651,machine learning,DSE 220,Machine Learning,"This course provides a broad introduction to the practical side of machine learning and data analysis. The topics covered in this class include topics in supervised learning, such as k-nearest neighbor classifiers, decision trees, boosting and perceptrons, and topics in unsupervised learning, such as k-means, PCA, and Gaussian mixture models."
652,machine learning,ECE 175A,Elements of Machine Intelligence: Pattern Recognition and Machine Learning,Introduction to pattern recognition and machine learning. Decision functions. Statistical pattern classifiers. Generative vs. discriminant methods for pattern classification. Feature selection. Regression. Unsupervised learning. Clustering. Applications of machine learning.
653,machine learning,CSE 251C,Principles of Machine Learning: Machine Learning Theory,"(Formerly CSE 250C.) Theoretical foundations of machine learning. Topics include concentration of measure, the PAC model, uniform convergence bounds, and VC dimension. Possible topics include online learning, learning with expert advice, multiarmed bandits, and boosting. Renumbered from CSE 250C. Students may not receive credit for CSE 251C and CSE 250C. Recommended preparation: CSE 103 and CSE 101 or similar course."
654,machine learning,DSC 255R,Machine Learning Fundamentals,"Supervised and unsupervised learning algorithms, and the theory behind those algorithms. Using case studies, covered topics include classification, regression, and conditional probability estimation; generative and discriminative models; linear models and extensions to non-linearity using kernel methods; ensemble methods: boosting, bagging, random forests; representation learning: clustering, dimensionality reduction, auto-encoders, deep neural networks. This is a distance education course."
655,makeup,BIOM 235,Pharmacogenomics,This course provides an understanding of the evolving area of human genomics and correlation between an individual’s or subpopulation’s genetic makeup and their response to drugs. The information provides the student the basis for select prescribing and/or targeting drug development to improve drug therapy outcomes and reduce adverse drug responses.
656,makeup,NO RESULTS,NO RESULTS,NO RESULTS
657,makeup,NO RESULTS,NO RESULTS,NO RESULTS
658,makeup,NO RESULTS,NO RESULTS,NO RESULTS
659,makeup,NO RESULTS,NO RESULTS,NO RESULTS
660,marine biology lab,SIOB 296,Special Topics in Ocean Biosciences,"Example topics are reproduction in marine animals, adaptation to marine environments, larval biology, marine fisheries, macromolecular evolution, physical chemical topics in physiology, philosophy of science."
661,marine biology lab,SIOB 290,Marine Biology,"An introduction to the field of marine biology, especially to the diversity of marine organisms at all taxonomic levels and their adaptations to the marine environment."
662,marine biology lab,BILD 4,Introductory Biology Lab,"Students gain hands-on experience and learn the theoretical basis of lab techniques common to a variety of biological disciplines such as biochemistry, molecular biology, cell biology, and bioinformatics. Students will work in groups, learning how to collect, analyze, and present data while using the scientific method to conduct inquiry-based laboratory experiments. Material lab fees will apply."
663,marine biology lab,BIEB 130,Marine Conservation Biology,"Course integrates principles of ecology and marine biology to examine marine biodiversity loss from overexploitation, habitat loss, invasion, climate change, and pollution. We examine consequences of biodiversity loss to marine ecosystems, discuss management regimes, and address global and local ocean conservation problems. Course includes basic overviews of climate, marine biology, and oceanography that may be similar to topics covered in introductory courses at Scripps Institution of Oceanography."
664,marine biology lab,SIOB 262,Marine Chemical Biology Seminar,"Students will give seminars on current research topics that span the interface of marine chemistry and marine biology. Topics will include natural products chemistry, biotechnology, biogeochemistry, and biochemistry relating to marine systems. May be taken for credit eighteen times."
665,marketing,GPIM 420,Marketing,"The role and function of marketing in organizations and society. Attention is given to the analysis of markets and customers using primary and secondary sources of information and the planning, implementation, and evaluation of marketing strategies and programs. Renumbered from IRGN 420. Students may not receive credit for GPIM 420 and IRGN 420."
666,marketing,MGT 407,Marketing,"By taking an analytical approach to the study of marketing problems, this course provides an understanding of customers and competitors as a basis for developing, pricing, promoting, and distributing goods and services that satisfy customer and organizational objectives. Letter grades only."
667,marketing,ECON 176,Marketing,"Role of marketing in the economy. Topics such as buyer behavior, marketing mix, promotion, product selection, pricing, and distribution. Concurrent enrollment in ECON 120C is permitted."
668,marketing,MGT 476,Marketing Strategy,"Addresses formulation and implementation of marketing strategy based on an integrative view of competitive brand strategy over the product life cycle. Provides a framework for developing marketing strategies yielding sustainable competitive advantage based on customer, competitor, industry, and environmental analysis. Students may not earn credit for both MGT 476 and MGT 201. They are course equivalents."
669,marketing,MGT 478,Marketing Communications,"This course differentiates decisions/principles considered when developing an overall communications and promotions strategy. Key decisions include the promotional mix, the design, implementation and evaluation of communications strategies and the thinking required to develop a creative strategy. Students may not earn credit for both MGT 478 and MGT 204. They are course equivalents."
670,matrix multiplication,BIMM 114,Virology,"An introduction to eukaryotic virology, with emphasis on animal virus systems. Topics discussed include the molecular structure of viruses; the multiplication strategies of the major virus families; and viral latency, persistence, and oncology."
671,matrix multiplication,MATH 146,Analysis of Ordinary Differential Equations,"A rigorous introduction to systems of ordinary differential equations. Topics include linear systems, matrix diagonalization and canonical forms, matrix exponentials, nonlinear systems, existence and uniqueness of solutions, linearization, and stability."
672,matrix multiplication,BGGN 226,Graduate Animal Virology,"This course consists of a review of fundamental concepts together with an in-depth analysis of the structure, genetics, multiplication and oncogenicity of animal viruses. Particular emphasis will be given to the DNA and RNA tumor viruses. The format of this section includes lectures and discussion of selected papers."
673,matrix multiplication,SE 101C,Mechanics III: Vibrations,"Free and forced vibrations of damped 1-DOF systems; vibrations isolation, impact and packaging problems. Analysis of discrete MDOF systems using matrix representation; normal mode of frequencies and modal matrix formulation. Lagrange’s equations. Modal superposition for analysis of continuous vibrating systems."
674,matrix multiplication,PHYS 4E,Physics for Physics Majors—Quantum Physics,"Continuation of PHYS 4D covering experimental basis of quantum mechanics: Schrodinger equation and simple applications; spin; identical particles, Fermi and Bose distributions, density matrix, pure and mixed states, entangled states and EPR."
675,medical robotics,FPM 272,Community Advocacy,"The UC San Diego Student-Run Free Clinic Project operates in partnership with two community programs for the homeless and an inner-city elementary school. Students participate in didactic sessions learning principles of working with the underserved and are supervised in clinical, health education, and administrative roles at the clinic sites. S/U grades only."
676,medical robotics,FPM 238,Introduction to Clinical Family Medicine,Introduction to clinical ambulatory medicine where students spend one afternoon per week in a physician’s practice participating in patient care commensurate with their training. Students may opt to continue the course over successive quarters or enroll full time during the summer for up to four weeks. S/U grades only. May be taken for credit two times.
677,medical robotics,MAE 204,Robotics,"This course covers topics in robotics, dynamics, kinematics, mechatronics, control, locomotion, and manipulation."
678,medical robotics,NEU 285,Clinical Trails: Issues and Dilemmas in Clinical Trials,"This course provides a methodological perspective on clinical trials. Topics will include ethics, design of Phase I–IV trials, randomization/blinding, bias, and sample-size power. Lectures will also cover “application” with eminent UC San Diego trialists describing conduct, design, and statistical issues of specific studies."
679,medical robotics,BIMM 124,Medical Microbiology,"Encompasses the increasingly important areas of viral, bacterial, and parasitic diseases and understanding the complex interaction between humans and infectious agents. Covers human-pathogen interactions, mechanisms and molecular principles of infectious diseases, immune responses, countermeasures by pathogens and hosts, epidemiology, and cutting-edge approaches to therapy."
680,medical school,BENG 294B,Engineering in the Patient Healthcare System,"Evaluation of medical schools in terms of historical background, specialties, graduating MDs metrics, and employment; and their societal, environmental, economic, political, and research impact. Coordination with medical school interviews with assigned off-campus time allocation. Report on results attained."
681,medical school,NEU 401,Neurology General Clinical Selective Clerkship,Provides opportunities for practical application of neurological skills to the understanding and treatment of a variety of clinical disorders of the nervous system.
682,medical school,FPM 272,Community Advocacy,"The UC San Diego Student-Run Free Clinic Project operates in partnership with two community programs for the homeless and an inner-city elementary school. Students participate in didactic sessions learning principles of working with the underserved and are supervised in clinical, health education, and administrative roles at the clinic sites. S/U grades only."
683,medical school,FPM 238,Introduction to Clinical Family Medicine,Introduction to clinical ambulatory medicine where students spend one afternoon per week in a physician’s practice participating in patient care commensurate with their training. Students may opt to continue the course over successive quarters or enroll full time during the summer for up to four weeks. S/U grades only. May be taken for credit two times.
684,medical school,NEU 285,Clinical Trails: Issues and Dilemmas in Clinical Trials,"This course provides a methodological perspective on clinical trials. Topics will include ethics, design of Phase I–IV trials, randomization/blinding, bias, and sample-size power. Lectures will also cover “application” with eminent UC San Diego trialists describing conduct, design, and statistical issues of specific studies."
685,medicinal,CHEM 167,Medicinal Chemistry,"Basics of medicinal chemistry, emphasizing rigorous descriptions of receptor-protein structure, interactions, and dynamics; their implications for drug development; and an integrated treatment of pharmacodynamic and pharmacokinetic considerations in drug design. Treats computational approaches as well as practical experimental approaches."
686,medicinal,CHEM 259,Special Topics in Organic Chemistry,"Various advanced topics in organic chemistry. Includes but is not limited to advanced kinetics, advanced spectroscopy, computational chemistry, heterocyclic chemistry, medicinal chemistry, organotransition metal chemistry, polymers, solid-phase synthesis/combinatorial chemistry, stereochemistry, and total synthesis classics."
687,medicinal,CHEM 253,Antibiotics,"The course focuses on the discovery and development of modern antibiotics. We will discuss the discovery, synthesis, medicinal chemistry, mechanism of action studies, and preclinical as well as clinical development of drugs that are currently being used in the therapy of bacterial infections. Emphasis will be given to compounds approved over the last three decades and investigational drugs that are in clinical trials."
688,medicinal,SIOB 243,Ecological and Medicinal Aspects of Natural Products,"This course will provide the foundation of the natural products sciences, including ethnobotanical uses of plants, ecological interactions and contemporary drug screening programs, and will increase awareness of the pervasiveness of natural products in pharmaceutical and other commercial products. Students may not receive credit for SPPS 281 and SIOB 243."
689,medicinal,BIBC 151,Chemistry of Biological Interactions,"Nearly all interactions between organisms, including host-pathogen interactions and mate attraction, have a chemical basis. Plants and microorganisms are the dominant life forms on earth and remain a major source of pharmaceutical leads. Students in this course will utilize biochemical methods to extract, fractionate, and analyze plant and microbial compounds of medicinal and ecological significance including antibiotics, growth regulators, toxins, and signaling molecules. Students use own laptops. Course requires field studies. Transportation not provided by the university. Students must comply with all risk management policies and procedures. Course materials fees will be applied."
690,medicine,BENG 91,Topics in Bioengineering and Medicine,Seminar discussing the interface between and opportunities for bioengineering and medicine. Students will interact with clinical faculty and bioengineering faculty to discuss current topics and problems where engineering solutions could improve the practice of medicine. Intended for first-year and transfer students in the Department of Bioengineering.
691,medicine,SOCI 30,"Science, Technology, and Society","A series of case studies of the relations between society and modern science, technology, and medicine. Global warming, reproductive medicine, AIDS, and other topical cases prompt students to view science-society interactions as problematic and complex. Will not receive credit for SOCI 30 and SOCL 30."
692,medicine,PSYC 6,General Psychology: Social Foundations,"This course provides an introduction to social psychology. Topics may include emotion, aesthetics, behavioral medicine, person perception, attitudes and attitude change, and behavior in social organizations."
693,medicine,SOCI 70,General Sociology for Premedical Students,"This introductory course is specifically designed for premedical students and will provide them with a broad introduction to sociological concepts and research, particularly as applied to medicine."
694,medicine,BENG 294A,Patient-Centered Clinical Medicine for Bioengineers,"Case-based introduction to patient-focused reasoning. Covers principles of quantitative physiology, medical devices (diagnostic and therapeutic), and complexities of real-world care settings. Emphasis on cardiopulmonary diseases."
695,meme,LIGN 42,The Linguistics of Memes,"A great meme can perfectly capture your feelings, sum up a situation, leave you laughing, or just add a bit of spice to life. In this course, we’ll look at memes as an aspect of modern communication, discussing the concept of a “meme,” the life cycle of a meme, the social nature of memes, and more, all explored using tools and concepts from language and the field of linguistics. This study will show that memes aren’t just silliness, but a rich communicative medium for a modern multimedia era."
696,meme,NO RESULTS,NO RESULTS,NO RESULTS
697,meme,NO RESULTS,NO RESULTS,NO RESULTS
698,meme,NO RESULTS,NO RESULTS,NO RESULTS
699,meme,NO RESULTS,NO RESULTS,NO RESULTS
700,mental health,FMPH 426,Public Mental and Behavior Health and Addiction,"This course introduces key aspects of mental and behavioral health as well as the etiology, risk factors, and impact of mental disorders in public health. The focus will be given to the link between mental and physical health and the impact of mental health on health behavior and outcomes. Mental and behavioral health in relation to substance use and addiction will be covered. Intervention strategies to improve mental and behavioral health will be introduced."
701,mental health,ANTH 243,Mental Health as Global Health Priority,"Why is mental health a global concern? This anthropological course reviews globalization, culture, and mental health. We examine issues of social suffering, stigma, and economic burden associated with mental illness, gender inequality, political violence, “global security,” pharmaceutical and illegal drugs."
702,mental health,FMPH 425,Epidemiology of Public Mental Health,"This course focuses on the application of epidemiology methods to mental health studies nationally and globally. Course content will include an overview of global mental health epidemics, study design among vulnerable populations such as refugees and immigrants, and the challenges of detection and treatment. Particular attention will be given to how cultural factors and stigma affect mental health epidemiology and how to account for these factors in study design."
703,mental health,ANSC 143,Mental Health as Global Health Priority,"(Cross-listed with GLBH 143.) Why is mental health a global concern? This anthropological course reviews globalization, culture, and mental health. We examine issues of social suffering, stigma, and economic burden associated with mental illness, gender inequality, political violence, “global security,” pharmaceutical and illegal drugs. May be coscheduled with ANTH 243. Students may not receive credit for both ANSC 143 and GLBH 143."
704,mental health,GLBH 20,Introduction to Global Health,"Provides a foundational interdisciplinary understanding of complex global health issues and introduces major concepts and principles in global health. The course surveys the range of problems contributing to the global burden of disease and disability including infectious disease, mental illness, refugee and immigrant health, natural disasters, climate change, and food insecurity."
705,michelangelo,VIS 122D,Michelangelo,"This course offers new approaches to understanding Michelangelo’s greatest creations. By considering how each work relates to the setting for which it was intended, by regarding critical literature and artistic borrowings as evidence about the works, and by studying the thought of the spiritual reformers who counseled Michelangelo, new interpretations emerge which show the artist to be a deeply religious man who invested his works with both public and private meanings."
706,michelangelo,VIS 122AN,Renaissance Art,"Italian artists and critics of the fourteenth through sixteenth centuries were convinced that they were participating in a revival of the arts unparalleled since antiquity. Focusing primarily on Italy, this course traces the emergence in painting, sculpture and architecture, of an art based on natural philosophy, optical principles, and humanist values, which embodied the highest intellectual achievement and deepest spiritual beliefs of the age. Artists treated include Giotto, Donatello, Masaccio, Brunelleschi, Jan van Eyck, Mantegna, Botticelli, Leonardo da Vinci, Michelangelo, Raphael, Bramante, Durer, and Titian. Recommended preparation: VIS 20."
707,michelangelo,NO RESULTS,NO RESULTS,NO RESULTS
708,michelangelo,NO RESULTS,NO RESULTS,NO RESULTS
709,michelangelo,NO RESULTS,NO RESULTS,NO RESULTS
710,middle east,HIGR 274A,Historical Scholarship on the Early Modern Middle East,"Historiography of the late medieval and early modern Middle East, focusing specifically on the Ottoman Empire."
711,middle east,HINE 144,Topics in Middle Eastern History,Selected topics in the history of the Middle East. May be taken for credit three times.
712,middle east,HINE 119,US Mid-East Policy Post-WWII,"An examination of post-WWII Middle East conflicts, including the Israeli-Arab conflicts, the Lebanese Civil War, and the Gulf War of the 1980s. The roles of the superpowers and Middle Eastern states during the period."
713,middle east,HINE 120,The Middle East in the New Century,"An examination of the conflicts, changes, and continuities in the Middle East since 2000. The course includes inspection of the US role in Iraq and the region generally."
