Query,Class Code,Course Title,Course Description,Relevance,Ranking (position)
finance,MGT 408,Finance,"Through lecture and online delivery, this course will focus on basic business financial concepts with particular attention to challenges of finance in start-up and small- and medium-sized enterprises. Letter grades only.",1,2
finance,MGT 289,Topics in Financial Economics Research,"This course will cover a rotating set of topics, chosen by the instructor, to introduce students to cutting-edge research in various areas of financial economics. Possible areas include dynamic (continuous-time) asset pricing theory, empirical and theoretical corporate finance, macro-finance, household and intermediary finance, and market microstructure and informational economics.",1,3
finance,ECON 270,Finance—Core Asset Pricing,Theoretical and empirical issues in finance. (Previously numbered ECON 214A.),1,4
finance,ECON 272,Finance—Theory and Testing of Intertemporal Asset Pricing Models,Theoretical and empirical issues in finance. (Previously numbered ECON 214C.),1,5
fish,HISC 108,Life Sciences in the Twentieth Century,"The history of twentieth-century life sciences, with an emphasis on the way in which model organisms such as fruit flies, guinea pigs, bacteriophage, and zebra fish shaped the quest to unlock the secrets of heredity, evolution, and development.",1,1
fish,BGGN 223,Graduate Genetics,"Advanced coverage of classical and cutting-edge genetic technologies in a wide variety of organisms—bacteria, plants, insects, worms, fish, and mammals. The power of genetic approaches to provide fundamental insights into important questions in development, physiology, behavior, medicine, and evolution. Course format centered on discussion of research papers with genetic analysis at their core. Emphasis on exploring essential genetic concepts, principles, and mechanisms throughout biology. Letter grades only.",0,2
fish,NO RESULTS,NO RESULTS,NO RESULTS,0,3
fish,NO RESULTS,NO RESULTS,NO RESULTS,0,4
fish,NO RESULTS,NO RESULTS,NO RESULTS,0,5
fisheries,SIOB 270A,Fisheries Oceanography,"Aspects of marine ecology relevant to the reproduction, survival, and distribution of commercially important marine species. Alternate years only.",1,1
fisheries,SIO 137,Ecosystems and Fisheries,"This course introduces students to the broad ecological processes and approaches that are fundamental to studying the dynamics of exploited populations, food webs, and ecosystems. The basics of fisheries oceanography are covered, with a synergistic focus on internations between key members of an ecosystem. A diversity of ecosystems will be discussed but the focus will be on the open ocean and deep sea.",1,2
fisheries,SIOB 296,Special Topics in Ocean Biosciences,"Example topics are reproduction in marine animals, adaptation to marine environments, larval biology, marine fisheries, macromolecular evolution, physical chemical topics in physiology, philosophy of science.",1,3
fisheries,SIO 133,Marine Mammal Biology,"Introduction to the biology, ecology, evolution, and conservation status of marine mammals. Description of marine mammal taxa (mysticetes, odontocetes, pinnipeds, sirenians), their anatomy, physiology, ecology, and behavior. Impacts of whaling, fisheries interactions, and other anthropogenic threats.",1,4
fisheries,ECON 145,Economics of Ocean Resources,"Economic issues associated with oceans. Economics of managing renewable resources in the oceans, with an emphasis on fisheries, economics of conservation and biodiversity preservation for living marine resources, with an emphasis on whales, dolphins, sea turtles, and coral reefs.",1,5
food,SOCI 137,Sociology of Food,"Topics include food as a marker of social differences (e.g., gender, class, ethnicity); the changing character of food production and distribution; food as an object of political conflict; and the symbolic meanings and rituals of food preparation and consumption.",1,1
food,ANSC 114,Food Cultures of South Asia,"This course explores the diverse food cultures of South Asia, focusing on the ways food, spices, and beverages shape identity, social relations, and cultural heritage. It will place food practices in the context of food security, sustainability, inequality, nutrition, family, and kinship. Students develop projects focused on understanding the cultural and historical significance of a particular food dish or regional culinary tradition.",1,2
food,LTCS 165,Special Topics: The Politics of Food,"This course will examine the representation and politics of food in literary and other cultural texts. Topics may include food and poverty, the fast food industry, controversies about seed, sustainable food production, myths about hunger, eating and epistemology, aesthetics, etc. May be taken for credit up to three times as topics vary.",1,3
food,ANSC 184,"Food, Culture, and Society","This seminar addresses the production, consumption, and distribution of food, with particular emphasis on the culture of food. Food studies provide insight into a wide range of topics including class, poverty, hunger, ethnicity, nationalism, capitalism, gender, race, and sexuality.",1,4
food,COMM 114J,CSI: Food Justice,"Examine food justice from multiple analytical and theoretical perspectives: race, class, diversity, equity, legal-institutional, business, ethical, ecological, scientific, cultural, and socio-technical. Compare political strategies of food justice organizations/movements aimed at creating healthy and sustainable food systems locally and globally.",1,5
football,POLI 137,A Sports Analytics Approach to the Social Sciences,"Sports analytics is a fast-growing field. It uses data and statistical methods to measure performance in competitive sports. The approach’s popularity has generated a wealth of data that can be used to shed light on social science questions in interesting ways. We will focus on topics such as violent behavior, discrimination, cultural/ethnic diversity, corruption, and cognitive biases using examples from baseball, basketball, figure skating, football, hockey, soccer, and sumo wrestling.",1,1
football,NO RESULTS,NO RESULTS,NO RESULTS,0,2
football,NO RESULTS,NO RESULTS,NO RESULTS,0,3
football,NO RESULTS,NO RESULTS,NO RESULTS,0,4
football,NO RESULTS,NO RESULTS,NO RESULTS,0,5
forestry,ANTH 275,Paleoethnobotany,"This course provides an introduction to the fundamentals of practicing archaeobotany. How do archaeobotanists identify ancient plant remains in sites, and how can we use this information to understand human subsistence and forestry regimes, animal feeding patterns, and climate change?",1,1
forestry,SIOG 275,Paleoethnobotany,"(Cross-listed with ANTH 275.) This course provides an introduction to the fundamentals of practicing archaeobotany. How do archaeobotanists identify ancient plant remains in sites and how can we use this information to understand human subsistence and forestry regimes, animal feeding patterns, and climate change? Program or materials fees may apply. Students may not receive credit for ANTH 275 and SIOG 275.",1,2
forestry,NO RESULTS,NO RESULTS,NO RESULTS,0,3
forestry,NO RESULTS,NO RESULTS,NO RESULTS,0,4
forestry,NO RESULTS,NO RESULTS,NO RESULTS,0,5
fourier analysis,MATH 242,Topics in Fourier Analysis,"In recent years, topics have included Fourier analysis in Euclidean spaces, groups, and symmetric spaces. May be repeated for credit with consent of adviser as topics vary.",1,1
fourier analysis,MATH 144,Introduction to Fourier Analysis,"Rigorous introduction to the theory of Fourier series and Fourier transforms. Topics include basic properties of Fourier series, mean square and pointwise convergence, Hilbert spaces, applications of Fourier series, the Fourier transform on the real line, inversion formula, Plancherel formula, Poisson summation formula, Heisenberg uncertainty principle, applications of the Fourier transform.",1,2
fourier analysis,ECE 45,Circuits and Systems,"Steady-state circuit analysis, first and second order systems, Fourier Series and Transforms, time domain analysis, convolution, transient response, Laplace Transform, and filter design.",1,3
fourier analysis,SIOG 223B,Geophysical Data Analysis II,"Analysis of geophysical measurements, especially time series, Fourier theory digital signal processing, and spectral analysis.",1,4
fourier analysis,SIOC 207A,Fundamentals of Digital Signal Processing,"Discussion of discrete-time signals and systems, Discrete-Time Fourier Transform (DFT) and window functions, Fast Fourier Transform (FFT), design of Finite Impulse Response (FIR) and Infinite Impulse Response (IIR) digital filters and their implementations, finite word length effects, applications to data acquisition and analysis.",1,5
game theory,ECON 109,Game Theory,"Introduction to game theory. Analysis of people’s decisions when the consequences of the decisions depend on what other people do. This course features applications in economics, political science, and law.",1,1
game theory,ECON 262,Behavioral Game Theory,This course is intended to give students an introduction to the study of strategic interaction through a behavioral lens. We will review game theory experiments and analyze which theoretical predictions are validated and which are violated in practice. We will characterize the systematic violations of the theory that come from experiments and study how these behavioral regularities can be incorporated into new equilibrium concepts.,1,2
game theory,POLI 204C,Game Theory 1,This course introduces students to the rudiments of decision theory and game theory. Emphasis will be placed on modeling and solving games.,1,3
game theory,POLI 205,Game Theory II,"This course covers advanced topics in game theory. Covered topics will include incomplete information in static and dynamic games, infinitely repeated games, and bargaining games. Emphasis will be placed on advanced equilibrium concepts, and applications of interest to political scientists.",1,4
game theory,ECON 208,Games and Information,Further topics in game theory and the economics of information.,1,5
genetic algorithm,CSE 202,Algorithm Design and Analysis,"The basic techniques for the design and analysis of algorithms. Divide-and-conquer, dynamic programming, data structures, graph search, algebraic problems, randomized algorithms, lower bounds, probabilistic analysis, parallel algorithms.",1,1
genetic algorithm,BICD 102,Genetic Inquiry,"Students will interact with primary literature in genetics through reading, writing, and in-class discussions. The focus will be to learn to analyze research data and develop critical thinking skills, while applying concepts in genetics to understand scientific discoveries. Topics may vary from quarter to quarter; examples include but are not limited to genetic basis of complex human traits or genetics and evolution of form and function in organisms.",1,2
genetic algorithm,BICD 104,Genetic Neurobiology,"This course will survey studies of the genetic influences on behavior and the use of genetic tools to study behavior and neurobiology, with particular emphasis on studies of the mechanisms underlying various behaviors. Studies of model organisms (bacteria, paramecium, C. elegans, Drosophila, and mice) will be discussed along with their implications for understanding human behavior. The material is highly interdisciplinary, reflecting the variety of experimental approaches to the subject.",1,3
genetic algorithm,COGS 186,Genetic Algorithms,"This course will teach in detail some of the key biology-inspired AI algorithms. It will cover genetic algorithms (GA), particle swarm optimization algorithms (PSO), and other optimization algorithms like simulated annealing and gradient descent.",1,4
genetic algorithm,SE 9,Algorithms and Programming for Structural Engineering,"Introduction to the MATLAB environment. Variables and types, statements, functions, blocks, loops, and branches. Algorithm development. Functions, function handles, input and output arguments. Data encapsulation and object-oriented programming. Toolboxes and libraries. Models from physics (mechanics and thermodynamics) are used in exercises and projects.",1,5
genetics,BIOM 252,Genetics and Genomics,"This course will examine the basic principles of genetics and genomics. We will focus on classic discoveries and examples of approaches to current experimental problems. Emphasis areas will vary but general topics include Mendelian inheritance, imprinting, cytogenetics, genome structure, genetic variation, linkage and recombination, complex traits, statistical genetics, population genetics, genomic tools and methodology, medical genetics, model organisms.",1,1
genetics,BIOM 242,Seminar in Genetics,Intended for graduate students interested in principles of classical and molecular genetics. Will attend weekly genetics seminar and participate in didactic/discussion preparatory session.,1,2
genetics,BICD 100,Genetics,"An introduction to the principles of heredity emphasizing diploid organisms. Topics include Mendelian inheritance and deviations from classical Mendelian ratios, pedigree analysis, gene interactions, gene mutation, linkage and gene mapping, reverse genetics, population genetics, and quantitative genetics. Students may receive credit for one of the following: BICD 100 or BICD 100R.",1,3
genetics,BICD 100R,Genetics,"An introduction to the principles of heredity emphasizing diploid organisms. Topics include Mendelian inheritance and deviations from classical Mendelian ratios, pedigree analysis, gene interactions, gene mutation, linkage and gene mapping, reverse genetics, population genetics, and quantitative genetics. This course is a distance education course. Students may receive credit for one of the following: BICD 100 or BICD 100R.",1,4
genetics,BILD 20,Human Genetics in Modern Society,"Fundamentals of human genetics and introduction to modern genetic technology such as gene cloning and DNA finger printing. Applications of these techniques, such as forensic genetics, genetic screening, and genetic engineering. Social impacts and ethical implications of these applications. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for BILD 20 after receiving credit for BICD 100.",1,5
history,VIS 23,Seminar in Art History Methods,"This course, a lower-division seminar for art history majors, covers the research tools and fundamental skills needed for advanced work in the field. Topics include descriptive and analytical writing; revision and peer review; compiling annotated bibliographies with traditional and online resources, indexes, and databases; evaluating source materials (including those found online); defining research programs; and preparing and delivering art history presentations.",1,1
history,HIEU 271,Special Topics in Twentieth-Century Europe,This course alternates with HIEU 170. Topics will vary from year to year.,1,2
history,HIEU 171,Special Topics in Twentieth-Century Europe,This course alternates with HIEU 170. Topics will vary from year to year.,1,3
history,HIEU 263,Special Topics in Medieval History,"Intensive study of special problems or periods in the history of medieval Europe. Topics vary from year to year, and students may therefore repeat the course for credit.",1,4
history,HIEU 163,Special Topics in Medieval History,"Intensive study of special problems or periods in the history of medieval Europe. Topics vary from year to year, and students may therefore repeat the course for credit.",1,5
how the internet works,LTWL 159,"Digital Middle East: Culture, Politics, and Religion","This course examines the role of Information Communication Technologies (ICTs) such as the internet, mobile, and satellite TV in the reshaping of the Middle East and North Africa. It will focus on how ICTs like the internet are changing culture, politics, and religion in the region and implication of such transformations.",1,1
how the internet works,CSE 222B,Internet Algorithmics,"(Formerly CSE 228H.) Techniques for speeding up internet implementations, including system restructuring, new algorithms, and hardware innovations. Topics include models for protocols, systems and hardware; efficiency principles; applying these principles to deriving techniques for efficient implementation of common endnode and router functions.",1,2
how the internet works,LTSP 101,Major Works of the Middle Ages,Major Spanish literary works of the Middle Ages and Renaissance as seen against the historical and intellectual background of this period. May be taken for credit up to three times as topics vary.,0,3
how the internet works,COMM 103E,CM: History of Electronic Media,"This course considers the social, cultural, economic, and technological contexts that have shaped electronic media, from the emergence of radio and television to their convergence through the internet, and how these pervasive forms of audiovisual culture have impacted American society.",0,4
how the internet works,LTGM 101,German Studies II: National Identities,"This course offers an overview of issues in contemporary and historical German cultures. How has national identity been constructed in the past? What does it mean to be a German in the new Europe? Materials include fiction, historical documents, films, and the internet.",0,5
how to build a website,COMM 103F,CM: How to Read a Film,"This course increases our awareness of the ways we interpret or make understanding from movies to enrich and increase the means by which one can enjoy and comprehend movies. We will talk about movies and explore a range of methods and approaches to film interpretation. Readings will emphasize major and diverse theorists, including Bazin, Eisenstein, Cavell, and Mulvey.",0,1
how to build a website,CSE 95,Tutor Apprenticeship,Students assigned to tutor for a CSE course for the first time receive individual and group mentoring and training on how to be effective tutors to help them develop the skills and tools needed to be effective in their tutor role. Students must have a concurrent tutor appointment in a CSE course. See CSE website for application information.,0,2
how to build a website,COGS 123,Social Computing,"This course explores the intersection of social behavior and computational systems. Students will examine a range of organizational, technical, and business challenges related to social computing, and learn how to use tools to analyze, design, and build online communities.",0,3
how to build a website,POLI 129,How to Steal an Election,"Examine the role of elections in new and fragile democracies, explore how politicians construct elections to suppress increased levels of democracy, the techniques used to undermine free and fair elections, and the strategic responses to these actions by domestic/international actors.",0,4
how to build a website,MGT 470,Digital Disruption and Transformation,An advanced graduate course focusing on digital business model innovation using customer-centric principles. Students will learn to identify opportunities for disruption and assess risks of being disrupted using the customer value chain. They will learn how to build business models by harnessing the power of decoupling. Students will also learn how to redesign a traditional company’s business model and map the transition path for their digital transformation.,0,5
how to teach kids computer science,COMM 105M,CT: Mobile Communication,"Movement is central to our lives. This course draws on the latest research into how we travel, trade, and move. Diverse topics will be covered, including kids in cars, the New York subway, and theories of mobility.",0,1
how to teach kids computer science,EDS 324CR,Learn to Teach Java,Examine issues in teaching and learning of programming in Java with a focus teaching of secondary-level students. Teaching and learning of algorithms; data structures and representation; searching and sorting; basic software design processes and impacts on society. Developing an educational infrastructure and professional community that supports computing in traditional K-12 environments. Experience with block-based programming is recommended.,1,2
how to teach kids computer science,CSE 211,Software Testing and Analysis,"Survey of testing and analysis methods. Introduction to advanced topics in area as well as traditional production methods. Topics include inspections and reviews, formal analysis, verification and validation standards, nonstatistical testing, statistical-testing and reliability models, coverage methods, testing and analysis tools, and organization management and planning. Methods special to special development approaches such as object-oriented testing will also be described.",0,3
how to teach kids computer science,EDS 324DR,Teaching Methods in Computer Science,"Provides pedagogical and content knowledge and experiences to be an effective computer science teacher in the K-12 setting. Misconceptions in programming, teaching debugging, development of differentiated programming assignments, use of Use, Modify, Create approach, pedagogy, and classroom engagement practices for supporting student success. Experience teaching any programming language in the K-12 setting is recommended. Learning to teach Java is also recommended.",1,4
how to teach kids computer science,CSE 599,Teaching Methods in Computer Science,Training in teaching methods in the field of computer science. This course examines theoretical and practical communication and teaching techniques particularly appropriate to computer science.,1,5
human biology,BILD 10,Fundamental Concepts of Modern Biology,An introduction to the biochemistry and genetics of cells and organisms; illustrations are drawn from microbiology and human biology. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for BILD 10 after receiving credit for BILD 1.,1,1
human biology,BILD 22,Human Nutrition,"A survey of our understanding of the basic chemistry and biology of human nutrition; discussions of all aspects of food: nutritional value, diet, nutritional diseases, public health, and public policy. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for BILD 22 after receiving credit for BIBC 120.",1,2
human biology,ANTH 21,Race and Racisms,"Why does racism still matter? How is racism experienced in the United States and across the globe? With insights from the biology of human variation, archaeology, colonial history, and sociocultural anthropology, we examine how notions of race and ethnicity structure contemporary societies.",0,3
human biology,BILD 40,Introduction to Biomedical Research,"Course introduces students to some of the research approaches employed by physicians and scientists at the UC San Diego School of Medicine to investigate the etiology, biology, prevention and treatment of human diseases, including cancer, diabetes, and others. P/NP grades only.",1,4
human biology,RELI 3,Technoscience and Religion,"The aim of this course is to introduce students to the complex relationship between “technoscience,” as a broad field of inquiry into the global human practices of technology combined with scientific methods, ranging from biology to computer sciences and robotics, with religion in its complex social manifestations.",1,5
human interaction,CSE 276B,Human Robot Interaction,"Robots are entering human spaces. How do we make them functional, useful, and acceptable? This course explores the core computational, engineering, and experimental challenges in human-robot interaction. Course topics include shared autonomy, perception of people and context, coordination, collaboration, human-guided learning, robot design, and experimental robotics. Students will review seminal and recent papers in the field and engage in team-based projects with physical, mobile robots. This class requires expertise in software development. Prior exposure to robotics, computer vision, or machine learning is recommended. Students should be comfortable reading and analyzing scientific papers at the graduate level. Students may not receive credit for CSE 276B and CSE 291 (A00) taught winter 2017 with the same subtitle.",1,1
human interaction,CSE 239C,Human-Computer Interaction Seminar,"This course will introduce current trends in human-computer interaction (HCI) within and outside UC San Diego. The course will give an overview of the different research groups and environments at UC San Diego that focus on HCI, and then report on current work in the field across several HCI topics. May be taken for credit up to eighteen times.",1,2
human interaction,COGS 230,Topics in Human-Computer Interaction,"(Cross-listed with CSE 216.) Prepares students to conduct original HCI research by reading and discussing seminal and cutting-edge research papers. Topics include design, social software, input techniques, mobile, and ubiquitous computing. Student pairs perform a quarter-long mini research project that leverages campus research efforts. Letter grades only.",1,3
human interaction,ANTH 247,Multimodal Interaction,"Human society evolved in the context of face-to-face interaction. The course will examine methods and theoretical approaches to different modalities of interaction—especially speech, gesture, and gaze—their mutual integration, and their relevance to ethnography.",1,4
human interaction,COGS 126,Thinking with Computers,This course surveys the field of human-computer interaction and the ideas and technologies that have shaped its development.,1,5
yoga,ANSC 190,Yoga Practices: From Banaras to Beverly Hills,"Yoga practices have recently gained dizzying popularity in the U.S. But how has yoga changed and transformed over time? How might we contextualize yoga practices in India and globally? This course is divided into two parts. First, we will do a close reading of philosophical texts about yoga, such as The Yoga Sutras of Patanjali. Second, we will examine yoga practices, including processes of commodification and popularization of yoga in the West.",1,1
yoga,TDMV 5,Yoga for Dance,An introduction to the physical practice of yoga. A detailed investigation into the ancient somatic practice of energetically connecting the mind and body through kinesthetic and sensory awareness and how this supports and informs dance practices. May be taken for credit six times.,1,2
yoga,EDS 146,Mindfulness and Education,"This course introduces students to mindfulness and yoga in schools as it relates to social and emotional learning (SEL), executive functioning, and academic success. Through a combination of readings, lectures/discussions, assignments, and field experiences, students will learn about the impact of contemplative practices on academic functioning and SEL, while also addressing current educational and socio-emotional challenges that P–12 students, teachers, and parents face.",1,3
yoga,NO RESULTS,NO RESULTS,NO RESULTS,0,4
yoga,NO RESULTS,NO RESULTS,NO RESULTS,0,5
vietnam,ETHN 155GS,Critical Perspectives on the Vietnam War,"This course examines the impact of the Vietnam War on three populations: Americans, Vietnamese in Vietnam, and Viet Kieu (overseas Vietnamese). We will supplement scholarly texts on the war with films, literature, and visits to war museums and monuments. Program or materials fees may apply.",1,1
vietnam,HIGL 114,History of Modern Vietnam,"This course introduces students to the history of modern Vietnam, starting with the Tay Son rebellion in the late eighteenth century and ending with the economic reforms of the 1980s. Topics include the expansion and consolidation of the French colonial state, the rise of anticolonialism and nationalism, the development of Vietnamese communism, World War II, and the First and Second Indochina Wars. A special emphasis will be focused on the place of Vietnam within wider regional and global histories.",1,2
vietnam,ETHN 126,Comparative Filipino and Vietnamese American Identities and Communities,"This course compares the historical and contemporary social, political, and economic experiences of Filipino and Vietnamese Americans, paying particular attention to the impact of US wars in the Philippines and in Vietnam on their respective lives.",1,3
vietnam,ETHN 173GS,"Gender, Sexuality, and War","This course examines the effects of war and militarism on women’s lives, focusing in particular on the experiences of Vietnamese women during and in the aftermath of the Vietnam War. Program or materials fees may apply.",1,4
vietnam,HIUS 120,Peace Movements in America,"Topics will include Quaker origins of the American peace movements and examples of opposition to wars in the twentieth century from World Wars I and II, Vietnam, antinuclear movements, and intervention in Central America to Iraq.",0,5
urban studies,USP 30,Urban Studies and Planning Colloquium,"In this course, students will attend weekly seminars presented by leading researchers and practitioners in fields related to urban studies and planning. Students will learn about best practices and innovative case studies from the field.",1,1
urban studies,HIUS 148,The American City in the Twentieth Century,"This course focuses on the phenomenon of modern American urbanization. Case studies of individual cities will help illustrate the social, political, and environmental consequences of rapid urban expansion, as well as the ways in which urban problems have been dealt with historically.",1,2
urban studies,USP 103,The American City in the Twentieth Century,"This course focuses on the phenomenon of modern American urbanization. Case studies of individual cities will help illustrate the social, political, and environmental consequences of rapid urban expansion, as well as the ways in which urban problems have been dealt with historically.",1,3
urban studies,USP 191B,Advanced GIS for Urban and Community Planning,"Advanced geographic information systems (GIS) as applied to urban studies. Learn to use the GIS software with a focus on data management, online GIS, elements of spatial statistics, technologies, and models for spatial data integration to support urban research and decision-making.",1,4
urban studies,COGR 259,"Space, Place, and Media","The course focuses on built environments and the production of space from an interdisciplinary, perspective, using the critical and methodological tools of communication, anthropology, geography, history, psychology, political science, and urban studies.",1,5
transportation,USP 180,Transportation Planning,"Introduction to the history and current state of urban transportation planning, including the relationship between transportation and urban form; role of automotive, mass transit, and alternative modes; methods for transportation systems analysis; decision-making, regulatory, and financing mechanisms; and public attitudes. May be coscheduled with USP 280.",1,1
transportation,USP 181,Public Transportation,Livable cities rely on balanced transportation systems that can mitigate the negative impacts of car-oriented environment and society. This course will explore the role of public transit in creating a balanced transportation system. A variety of public transportation systems will be analyzed.,1,2
transportation,JAPN 20A,Second-Year Japanese,"Students will improve their fundamental skills in listening, speaking, reading, and writing including acquiring knowledge of Japanese transportation, trips, and geography.",0,3
transportation,USP 265C,Advanced Special Topics in Transportation,"Transportation topics may include policies such as congestion pricing, transit districts, street parking, or road safety regulation; social and legal implications of new transportation technologies; or methods for analyzing transit behavior. Topics may vary. May be taken for credit up to three times. May be coscheduled with USP 165C.",1,4
transportation,USP 165C,Advanced Special Topics in Transportation,"Transportation topics may include policies such as congestion pricing, transit districts, street parking, or road safety regulation; social and legal implications of new transportation technologies; or methods for analyzing transit behavior. Topics may vary. May be taken for credit up to three times. May be coscheduled with USP 265C.",1,5
teaching,POLI 599,Teaching Methods in Political Science,"Training in teaching methods in the field of political science. Examines evidence-based research on undergraduate teaching and learning with emphasis on effective teaching techniques appropriate to political science. Covers TA training, syllabus design, and effective teaching strategies.",1,1
teaching,POLI 500,Apprentice Teaching,"A course in which teaching assistants are aided in learning proper teaching methods by means of supervision of their work by the faculty: handling of discussions, preparation, and grading of examinations and other written exercises, and student relations. Twenty-four units of teaching apprenticeship meet the department teaching requirement for the PhD.",1,2
teaching,EDS 128A,Introduction to Teaching and Learning (Elementary),This course series is for undergraduates who are exploring a career in elementary school teaching. Topics addressed include theories of teaching and learning; research on cognition and motivation; and the cultural context of classroom teaching and learning. EDS 128A focuses on the learner in the teaching-learning interaction and EDS 128B focuses on the teacher in the teaching-learning interaction.,1,3
teaching,EDS 128B,Introduction to Teaching and Learning (Elementary),This course series is for undergraduates who are exploring a career in elementary school teaching. Topics addressed include theories of teaching and learning; research on cognition and motivation; and the cultural context of classroom teaching and learning. EDS 128A focuses on the learner in the teaching-learning interaction and EDS 128B focuses on the teacher in the teaching-learning interaction.,1,4
teaching,SOCG 500,Apprentice Teaching,"Supervised teaching in lower-division contact classes, supplemented by seminar on methods in teaching sociology. (S/U grades only.)",1,5
supply chain,MGT 177,Analytics and Spreadsheet Modeling in Supply Chain Management,"In today’s global economy, competition is not firm against firm, but rather supply chain against supply chain. Companies utilize analytics (i.e., the use of data, together with statistical and quantitative models, to make better, data-driven business decisions) to gain advantage in their supply chain management. Course covers the use of data analytics and spreadsheet modeling in decision-making involved in supply chain management, including logistics, facility management, fulfillment, and pricing.",1,1
supply chain,MGT 179,Topics in Supply Chain Management,Introduces advanced topics of special interest in supply chain. Students will develop the ability to apply the supply chain management concepts that they have learned to real-life situations. May be taken for credit two times if topics are substantially different.,1,2
supply chain,MGT 175,Supply Chain Management,"Supply chain management involves the flows of materials and information that contribute value to a product, from the source of raw materials to end customers. This course explains how supply chains work and describes the major challenges in managing an efficient supply chain. Covers various strategic and tactical supply chain issues such as distribution strategy, information sharing strategy, outsourcing, procurement (including e-markets), product design, virtual integration, and risk management. Credit is not allowed for both MGT 174 and MGT 175.",1,3
supply chain,MGT 453,Supply Chain Management,"Describes the systems approach to managing the entire flow of information, materials, and services from raw materials suppliers through factories and warehouses to the end customer, which is the key to productivity and competitiveness of manufacturing and service enterprises. Letter grades only.",1,4
supply chain,MGTA 456,Supply Chain Analytics,"This course focuses on improving the performance of production and service operations, as well as supply chains, through the combination of data and analytical tools including statistics, forecasting, and optimization. Students will learn to employ analytics in capacity and distribution facility planning and contracting; how to determine data collection requirements for dynamic management of inventory levels; and how to improve revenue management under demand learning.",1,5
sports,PHYS 8,Physics of Everyday Life,"Examines phenomena and technology encountered in daily life from a physics perspective. Topics include waves, musical instruments, telecommunication, sports, appliances, transportation, computers, and energy sources. Physics concepts will be introduced and discussed as needed employing some algebra. No prior physics knowledge is required.",1,1
sports,POLI 137,A Sports Analytics Approach to the Social Sciences,"Sports analytics is a fast-growing field. It uses data and statistical methods to measure performance in competitive sports. The approach’s popularity has generated a wealth of data that can be used to shed light on social science questions in interesting ways. We will focus on topics such as violent behavior, discrimination, cultural/ethnic diversity, corruption, and cognitive biases using examples from baseball, basketball, figure skating, football, hockey, soccer, and sumo wrestling.",1,2
sports,COMM 111T,CCP: Cultural Politics of Sport,"Examine sports as play, performance, competition, an arena where there are politics, culture, power, identity struggles. Establishing the social meanings of sport, we address ethics, race, class, nation, gender, body, science, technology, entertainment industries, commerce, spectatorship, consumption, amateurism, professionalism.",1,3
sports,TDAC 115,Movement for Actors,"An exploration of the wide array of physical skills necessary for the actor. Using techniques derived from mime, clowning, sports, acrobatics, and improvisation, students will investigate their individual physical potential as well as their sense of creativity and imagination.",0,4
sports,PHYS 1C,"Waves, Optics, and Modern Physics","Third quarter of a three-quarter introductory physics course geared toward life-science majors. The physics of oscillations and waves, vibrating strings and sound, and the interaction of light with matter as illustrated through optics and quantum mechanics. Examples from biology, sports, medicine, and current events. PHYS 1C and 1CL are designed to be taken concurrently but may be taken in separate terms; taking the lecture before the lab is the best alternative to enrolling in both.",0,5
social media,CLRE 234,Social Media Research,"This course will provide an overview of Institutional Review Board (IRB) considerations of social media in research, including those major ethical challenges and data security issues that may arise with the use of social media for recruitment, consent processes, data collection, and data dissemination.",1,1
social media,MGT 481,Social Media Marketing,"Examine tools and frameworks to understand how companies can effectively implement social media marketing campaigns. Through case studies, experiments, research, and class discussion, explore how companies use these emerging technologies to reach and engage customers in powerful new ways. Letter grade only.",1,2
social media,VIS 152,Media in Social Context,"This collection of courses gathers photography or films that are strongly marked by period, geography, and the culture within which they received their dominating local quality. These courses pay particular attention to the stamp of place—climate, dress, habitation, language, music, politics—as well as the formal and conceptual moves that helped shape such works. The series takes in these works in relation to current thought. Specific topics to be covered will vary by instructor. May be taken up to two times for credit. Program or materials fees may apply.",1,3
social media,SOCI 165A,American News Media,"History, politics, social organization, and ideology of the American news media. This course,165A, surveys the development of the news media as an institution, from earliest newspapers to modern mass news media.",1,4
social media,VIS 256,Seminar in Media and New Media,"Topics in media (photography, film, video) and new media, contemporary or historical. Coverage may be broad or addressed to a particular topic such as Film Remakes; Silent Cinema; Photography and Social Movements; The Language of New Media.",1,5
semantics,LIGN 230,Semantics,"Theories of semantic structure. The relation of meaning to grammar, and how it is to be accommodated in an overall model of linguistic organization. The application of formal semantics to the description of natural language.",1,1
semantics,LIGN 130,Semantics,Introduction to the formal study of meaning. What is the meaning of a word? What is the meaning of a sentence? Which role does the context play in determining linguistic meaning?,1,2
semantics,LIGN 235,Topics in Semantics,Advanced material in special areas of the study of meaning and its relation to formal aspects of human language. May be repeated for credit up to three times as topics vary.,1,3
semantics,COGS 153,Language Comprehension,"The processes and representations involved in understanding language—processing words, syntax, semantics, and discourse—are examined in light of evidence from both psychological experiments and computer simulations.",1,4
