Query,Class Code,Class Title,Class Description
downsides of social media,SOCI 122,Social Networks,"This course takes a social network approach to the study of society, examining the complex web of relationships— platonic, familial, professional, romantic—in which individual behavior is embedded. Special emphasis is placed on the unprecedented opportunities created by contemporary social media (e.g., Facebook, mobile phones, online dating websites) for answering fundamental sociological questions."
downsides of social media,NO RESULTS,NO RESULTS,NO RESULTS
downsides of social media,NO RESULTS,NO RESULTS,NO RESULTS
drawing,VIS 105A,Drawing: Representing the Subject,"A studio course in beginning drawing covering basic drawing and composition. These concepts will be introduced by the use of models, still life, landscapes, and conceptual projects."
drawing,VIS 105B,Drawing: Practices and Genre,A continuation of VIS 105A. A studio course in which the student will investigate a wider variety of technical and conceptual issues involved in contemporary art practice related to drawing.
drawing,VIS 105C,Drawing: Portfolio Projects,"A studio course in drawing, emphasizing individual creative problems. Class projects, discussions, and critiques will focus on issues related to intention, subject matter, and context."
drawing,VIS 1,Introduction to Art Making: Two-Dimensional Practices,"An introduction to the concepts and techniques of two-dimensional art making with an emphasis on drawing. Lectures and studio classes will introduce skills and concepts of contemporary drawing practice in relation to a variety of genres such as illustration, comics, advertising, animation, and other forms of visualization. This course is offered only one time each year."
drawing,TDGE 133,Visual Ideas,"An exploration of fundamental ways of seeing and thinking about the performance space. A look at the design process as it reflects styles and attitudes through an examination of text/image/meaning/message in theatre, dance, opera, and visual arts. With a special emphasis on the “solution-finding process” in design, as a leap from text to context, to finalized design."
drugs,PSYC 181,Psychopharmacology—Drugs and Behavior,"This course provides an overview of basic principles of psychopharmacology, including psychological effects, brain mode of action, and patterns of use of psychoactive agents. Drugs discussed may include drugs of abuse and psychotherapeutics such as stimulants, opioids, sedative hypnotics, hallucinogens, marijuana, alcohol, cognitive enhancers, anxiolytics, antidepressants, and antipsychotics."
drugs,COGS 174,"Drugs: Brain, Mind, and Culture","This course explores how drugs interact with the brain/mind and culture. It covers evolutionary and historical perspectives, brain chemistry, pharmacology, expectancies and placebo effects, and models of addiction. It also provides a biopsychosocial survey of commonly used and abused substances."
drugs,CHEM 167,Medicinal Chemistry,"Basics of medicinal chemistry, emphasizing rigorous descriptions of receptor-protein structure, interactions, and dynamics; their implications for drug development; and an integrated treatment of pharmacodynamic and pharmacokinetic considerations in drug design. Treats computational approaches as well as practical experimental approaches."
drugs,PSYC 236,Substance Abuse,"Theory and research on the development, progression, and resolution of substance use and abuse will be reviewed and evaluated. Normal and abnormal patterns of substance involvement will be contrasted across the life span."
drugs,CHEM 253,Antibiotics,"The course focuses on the discovery and development of modern antibiotics. We will discuss the discovery, synthesis, medicinal chemistry, mechanism of action studies, and preclinical as well as clinical development of drugs that are currently being used in the therapy of bacterial infections. Emphasis will be given to compounds approved over the last three decades and investigational drugs that are in clinical trials."
economics,ECON 113,Mathematical Economics,Mathematical concepts and techniques used in advanced economic analysis; applications to selected aspects of economic theory.
economics,ECON 181,Topics in Economics,Selected topics in economics. May be taken for credit up to three times.
economics,ECON 132,Energy Economics,"Energy from an economic perspective. Fuel cycles for coal, hydro, nuclear, oil, and solar energy. Emphasis on efficiency and control of pollution. Comparison of energy use across sectors and across countries. Global warming. Role of energy in the international economy."
economics,ECON 147,Economics of Education,"Examination of issues in education using theoretical and empirical approaches from economics. Analysis of decisions to invest in education. Consideration of various market structures in education, including school choice and school finance programs."
economics,ECON 266,Economics of Natural Resources,Theoretical and empirical issues in natural resource economics. (Previously numbered ECON 242.)
electrical engineering,ECE 5,Introduction to Electrical and Computer Engineering,"An introduction to electrical and computer engineering. Topics include circuit theory, assembly, and testing, embedded systems programming and debugging, transducer mechanisms and interfacing transducers, signals and systems theory, digital signal processing, and modular design techniques."
electrical engineering,ECE 289,Special Topics in Electrical and Computer Engineering,A course to be given at the discretion of the faculty at which general topics of interest in electrical and computer engineering will be presented by visiting or resident faculty members. May be taken for credit six times provided each course is a different topic.
electrical engineering,ECE 180,Topics in Electrical and Computer Engineering,Topics of special interest in electrical and computer engineering. Subject matter will not be repeated so it may be taken for credit more than once.
electrical engineering,ECE 188,Topics in Electrical and Computer Engineering with Laboratory,Topics of special interest in electrical and computer engineering with laboratory. Subject matter will not be repeated so it may be taken for credit up to three times.
electrical engineering,CENG 255,Electrochemical Engineering,"Fundamentals of electrochemistry and electrochemical engineering. Structure of the double layer, cell potential and electrochemical thermodynamics, charge transfer kinetics, electrochemical transport phenomena, and introduction to colloidal chemistry. Applications such as corrosion prevention, electroplating, reactor design, batteries, and fuel cells."
electrodynamics,PHYS 203A,Advanced Classical Electrodynamics I,"A basic course in electromagnetism at the graduate level. Contents include special relativity, relativistic formulation of electrodynamics from the principle of least action, electrostatics, magnetostatics, multipoles, waves, light, diffraction, and multipole radiation."
electrodynamics,ECE 107,Electromagnetism,"Electrostatics and magnetostatics; electrodynamics; Maxwell’s equations; plane waves; skin effect. Electromagnetics of transmission lines: reflection and transmission at discontinuities, Smith chart, pulse propagation, dispersion. Rectangular waveguides. Dielectric and magnetic properties of materials. Electromagnetics of circuits."
electrodynamics,PHYS 203B,Advanced Classical Electrodynamics II,"Special theory of relativity, covariant formulation of electrodynamics, radiation from current distributions and accelerated charges, multipole radiation fields, waveguides and resonant cavities."
electrodynamics,PHYS 100A,Electromagnetism I,"Coulomb’s law, electric fields, electrostatics; conductors and dielectrics; steady currents, elements of circuit theory."
electrodynamics,BGGN 260,Neurodynamics,"Introduction to the nonlinear dynamics of neurons and simple neural systems through nonlinear dynamics, bifurcation theory, and chaotic motions. The dynamics of single cells is considered at different levels of abstraction, e.g., biophysical and “reduced” models for analysis of regularly spiking and bursting cells, their dynamical properties, and their representation in phase space. Laboratory exercises will accompany the lectures. Duplicate credit not allowed for cross-listed courses: BGGN 260, BENG 260, and PHYS 279."
electromagnetism,PHYS 100A,Electromagnetism I,"Coulomb’s law, electric fields, electrostatics; conductors and dielectrics; steady currents, elements of circuit theory."
electromagnetism,ECE 107,Electromagnetism,"Electrostatics and magnetostatics; electrodynamics; Maxwell’s equations; plane waves; skin effect. Electromagnetics of transmission lines: reflection and transmission at discontinuities, Smith chart, pulse propagation, dispersion. Rectangular waveguides. Dielectric and magnetic properties of materials. Electromagnetics of circuits."
electromagnetism,PHYS 100C,Electromagnetism III,"Electromagnetic waves, radiation theory; application to optics; motion of charged particles in electromagnetic fields; relation of electromagnetism to relativistic concepts."
electromagnetism,SIOG 231,Geomagnetism and Electromagnetism,"Observations of Earth’s internal and external magnetic fields are used to study the core geodynamo and to image the electrical conductivity structure of the crust and mantle. This course will cover the theory of geomagnetism and electromagnetic induction, instrumentation, forward and inverse modeling of geomagnetic and electromagnetic data, properties of Earth materials, and applications. Renumbered from SIO 231. Students will not receive credit for both SIOG 231 and SIO 231."
electromagnetism,PHYS 100B,Electromagnetism II,"Magnetic fields and magnetostatics, magnetic materials, induction, AC circuits, displacement currents; development of Maxwell’s equations."
engineering,ECE 190,Engineering Design,"Students complete a project comprising at least 50 percent or more engineering design to satisfy the following features: student creativity, open-ended formulation of a problem statement/specifications, consideration of alternative solutions/realistic constraints. Written final report required."
engineering,ENG 210,Systems Engineering,"This course examines the complexity of integrating components of product engineering, marketing and client requirements into a single engineering system. Case studies explore successes and failures in engineered systems and how to detect and avoid potential failures using strong leadership skills, systemic analysis and thinking."
engineering,MAE 207,Topics in Engineering Science,A course to be given at the discretion of the faculty in which topics of current interest in engineering will be presented.
engineering,ENG 15,Engineer Your Success,"Engineer Your Success is designed to enhance your success as an engineering student (and later as an engineer) by developing key academic and personal skills. Learn how to study more effectively and uncover how to become the best engineer you can be. This course focuses on academic and personal planning, time management, study skills, and paths to personal growth. Activities include individual and collaborative exercises, personal reflections, and a final project."
engineering,ENG 20,Introduction to Engineering Research,"Introduction to research in engineering. Topics include defining a research problem, finding and reading technical papers, technical writing, and effective practices for presenting research. Students write a proposal on their lab placement research project. This course is for students in the Guided Engineering Apprenticeship in Research (GEAR)."
environmental engineering,MAE 126B,Environmental Engineering Design,"Fundamental principles of environmental design. Building a working prototype or computer model for an environmental engineering application. Work in teams to propose and design experiments and components, obtain data, complete engineering analysis, and write a report. Engineering ethics and professionalism."
environmental engineering,MAE 126A,Environmental Engineering Laboratory,"Analysis of experiments in Environmental Engineering: Drag in a water tunnel, shading effects on solar photovoltaic, buoyant plume dispersion in a water tank, atmospheric turbulence, and others. Use of sensors and data acquisition. Laboratory report writing; error analysis; engineering ethics."
environmental engineering,CHEM 171,Environmental Chemistry I,"An introduction to chemical concerns in nature with emphasis on atmospheric issues like air pollution, chlorofluorocarbons and the ozone hole, greenhouse effects and climate change, impacts of radioactive waste, sustainable resource usage, and risks and benefits of energy sources. Students may only receive credit for one of the following: CHEM 149A or 171."
environmental engineering,ESYS 101,Environmental Biology,"This course surveys biochemical and physiological processes governing the relationship between organisms and their environments, such as those involved in element cycling and cellular homeostasis. The course introduces biological perspectives on human activities ranging from antibiotic use to genetic engineering."
environmental engineering,ECON 268,Energy and Environmental Economics,"Designed to prepare graduate students for original research in environmental or energy economics. Topics include theory and empirical study of economic regulation, energy markets, technological change, pollution and other externalities, energy efficiency, and climate change. Emphasis on empirical applications."
ethics of social media,PHIL 160,Ethical Theory,"Systematic and/or historical perspectives on central issues in ethical theory such as deontic, contractualist, and consequentialist conceptions of morality; rights and special obligations; the role of happiness and virtue in morality; moral conflict; ethical objectivity and relativism; and the rational authority of morality."
ethics of social media,DSC 267R,Data Fairness and Ethics,"Examination of the inevitable ethical questions and issues that arise in all stages of data science, including issues of privacy, bias, trust, and more. Conceptual and mathematical tools that can be used both to recognize and address these ethical issues as they arise in real-world practice. This is a distance education course."
ethics of social media,CLRE 234,Social Media Research,"This course will provide an overview of Institutional Review Board (IRB) considerations of social media in research, including those major ethical challenges and data security issues that may arise with the use of social media for recruitment, consent processes, data collection, and data dissemination."
ethics of social media,PHIL 282,Topics and Methods in Ethics,"Weekly or biweekly meetings to discuss recent literature in ethics, broadly construed so as to include ethical theory, normative ethics, jurisprudence, and historical traditions in these fields. The course is suitable for those specializing in ethics and for those seeking some familiarity with the field. Can be taken nine times for credit with changed content."
ethics of social media,MGT 481,Social Media Marketing,"Examine tools and frameworks to understand how companies can effectively implement social media marketing campaigns. Through case studies, experiments, research, and class discussion, explore how companies use these emerging technologies to reach and engage customers in powerful new ways. Letter grade only."
exercise,BIPN 108,Biology and Medicine of Exercise,"Course addresses the human body’s response to exercise, addressing energy metabolism and the effects of both acute and chronic exercise on function in several important organ systems. Designing training regimes and the role of exercise in health will be considered."
exercise,TDMV 5,Yoga for Dance,An introduction to the physical practice of yoga. A detailed investigation into the ancient somatic practice of energetically connecting the mind and body through kinesthetic and sensory awareness and how this supports and informs dance practices. May be taken for credit six times.
exercise,BIPN 100,Human Physiology I,"Course introduces the concepts of physiological regulation, controlled and integrated by the nervous and endocrine systems. Course then examines the muscular, cardiovascular, and renal systems in detail and considers their control through the interaction of nervous activity and hormones. Note: Students may not receive credit for both BIPN 100 and BENG 140A."
exercise,NO RESULTS,NO RESULTS,NO RESULTS
exercise,NO RESULTS,NO RESULTS,NO RESULTS
exploring the ocean,SIO 30,The Oceans,"Presents modern ideas and descriptions of the physical, chemical, biological, and geological aspects of oceanography, and considers the interactions between these aspects. Intended for students interested in the oceans, but who do not necessarily intend to become professional scientists."
exploring the ocean,SIO 60,Experiences in Oceanic and Atmospheric Sciences,"Oceanic and atmospheric sciences are introduced through a series of modules where students learn basic principles in the classroom and then have hands-on experiences demonstrating these principles. The course will include trips to the beach, the Ellen Browning Scripps Memorial Pier, and laboratories at Scripps Institution of Oceanography."
exploring the ocean,SIOC 237B,Ocean Color Remote Sensing,Overview of ocean color satellite missions. Concepts in radiometry. Inherent and apparent optical properties. Radiative transfer equation. Solar radiation and elements of atmospheric optics. Propagation of light across the sea surface and within the ocean. Light absorption and scattering by seawater. Water-leaving radiance and remote-sensing reflectance. Ocean color algorithms and applications. Recommended preparation: basic physics and differential calculus.
exploring the ocean,SIOC 237C,Optical-Biological Interactions in the Ocean,"This is a course on the interactions of underwater light with marine plankton and animals. Topics include basic physics of interaction of light and matter, optical properties of marine plankton, optical and biological effects associated with interactions of light with marine organisms, and optical methods and their applications to the study of ocean biology. Course meetings consist of approximately 75 percent lectures by instructor and 25 percent student presentations and discussions of selected papers. Renumbered from SIO 237C. Students will not receive credit for SIOC 237C and SIO 237C. Recommended preparation: basic physics and biology. (Letter grades only.)"
exploring the ocean,SIOC 237A,Introduction to Ocean Optics,Overview of ocean optics. Concepts in radiometry. Inherent and apparent optical properties. Radiative transfer equation. Light absorption and scattering by seawater constituents. Optics of air-water interface. Light fields within and leaving the ocean. Optics of marine particles. Measurement methods and instrumentation. Recommended preparation: basic physics and differential calculus.
fashion,TDGR 273,Fashioning the Body,A survey/history of artistic and cultural stylistic change as embodied in clothing from early Western civilization to the contemporary period.
fashion,PHIL 175,Aesthetics,"Central issues in philosophical aesthetics such as the nature of art and aesthetic experience, the grounds of artistic interpretation and evaluation, artistic representation, and the role of the arts in education, culture, and politics. May be taken for credit two times."
fashion,LTCO 285,Literature and Aesthetics,"Research in literary theory and aesthetic philosophies. Single and multiple authors and topics; Plato and Aristotle, Renaissance treatises, Winckleman, Kant and Hegel in the Enlightenment, Warburg, Heidegger and Panofsky, contemporary art theory, et al. May be taken up to two times for credit when topics vary. Restricted to major code LT77 or consent of instructor and department."
fashion,NO RESULTS,NO RESULTS,NO RESULTS
fashion,NO RESULTS,NO RESULTS,NO RESULTS
film,FILM 87,Film Studies First-year Student Seminar,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students."
film,NO RESULTS,NO RESULTS,NO RESULTS
film,NO RESULTS,NO RESULTS,NO RESULTS
film,NO RESULTS,NO RESULTS,NO RESULTS
film,NO RESULTS,NO RESULTS,NO RESULTS
finance,MGT 408,Finance,"Through lecture and online delivery, this course will focus on basic business financial concepts with particular attention to challenges of finance in start-up and small- and medium-sized enterprises. Letter grades only."
finance,MGTF 421,Corporate Finance,The course covers the foundations of finance with emphasis on corporate finance applications. Discussion of the major financial decisions made by managers both within the firm and in interactions with investors. Essential in most of these decisions is the process of valuation which is an important emphasis of the course.
finance,MGT 180,Business Finance,"This course provides an introduction to the fundamental concepts in corporate finance. Topics include discounted cash flow, capital budgeting, bond and stock valuation, portfolio theory, market efficiency, the Capital Asset Pricing Model (CAPM), the determinants of capital structure and options. We will seek a balance between theoretical paradigms, the empirical facts, and their applicability to real-world issues. Emphasis will be placed on general principles and problem solving. Students will not receive credit for both MGT 180 and MGT 180R."
finance,MGT 180R,Business Finance,"This course provides an introduction to the fundamental concepts in corporate finance. Topics include discounted cash flow, capital budgeting, bond and stock valuation, portfolio theory, market efficiency, the Capital Asset Pricing Model (CAPM), the determinants of capital structure, and options. We will seek a balance between theoretical paradigms, the empirical facts, and their applicability to real world issues. Emphasis will be placed on general principles and problem-solving. This course is a distance education course. Students will not receive credit for both MGT 180R and MGT 180."
finance,GPIM 424,Corporate Finance,"The topics covered are dividend policy and capital structure, options, debt financing, and short- and long-term in financial planning. Course format will be mostly lectures with occasional cases. Some international aspects of corporate finance will also be discussed. Renumbered from IRGN 424. Students may not receive credit for GPIM 424 and IRGN 424."
fish,SIO 188,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
fish,SIOB 294,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
fish,SIOB 295,Behavior and Ecology of Fishes,"The course will review recent literature on the behavior and ecology of fishes with emphasis on phylogenetic interpretations of character evolution and/or implications for conservation biology. Topics covered may include habitat selection, foraging strategies, reproductive biology, ontogeny of behavior, speciation, radiations, macroecological patterns, specialized behaviors. Course is a mixture of lectures on the background of topics and student presentations."
fish,NO RESULTS,NO RESULTS,NO RESULTS
fish,NO RESULTS,NO RESULTS,NO RESULTS
fisheries,SIO 137,Ecosystems and Fisheries,"This course introduces students to the broad ecological processes and approaches that are fundamental to studying the dynamics of exploited populations, food webs, and ecosystems. The basics of fisheries oceanography are covered, with a synergistic focus on internations between key members of an ecosystem. A diversity of ecosystems will be discussed but the focus will be on the open ocean and deep sea."
fisheries,SIOB 270A,Fisheries Oceanography,"Aspects of marine ecology relevant to the reproduction, survival, and distribution of commercially important marine species. Alternate years only."
fisheries,SIO 188,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
fisheries,SIOB 294,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
fisheries,SIOB 270,Pelagic Ecology,An analysis of the concepts and theories used to explain the biological events observed in the water column. Alternate years.
food,BIBC 120,Nutrition,"Elaborates the relationship between diet and human metabolism, physiology, health, and disease. Covers the functions of carbohydrates, lipids, proteins, vitamins, and minerals, and discusses dietary influences on cardiovascular disease, diabetes, obesity, and cancer."
food,LTCS 165,Special Topics: The Politics of Food,"This course will examine the representation and politics of food in literary and other cultural texts. Topics may include food and poverty, the fast food industry, controversies about seed, sustainable food production, myths about hunger, eating and epistemology, aesthetics, etc. May be taken for credit up to three times as topics vary."
food,SOCI 137,Sociology of Food,"Topics include food as a marker of social differences (e.g., gender, class, ethnicity); the changing character of food production and distribution; food as an object of political conflict; and the symbolic meanings and rituals of food preparation and consumption."
food,NO RESULTS,NO RESULTS,NO RESULTS
food,NO RESULTS,NO RESULTS,NO RESULTS
football,PSYC 139,The Social Psychology of Sport,"This course provides an introduction to the applications of social psychological principles and findings to sports. Topics include motivation, level of aspiration, competition, cooperation, social comparison, and optimal arousal. Additional topics may include the perspective of spectators, discussing motivation and perceptions of success, streaks, and such."
football,ECON 208,Games and Information,Further topics in game theory and the economics of information.
football,BGGN 249A,Basic Neuroscience,"(Cross-listed with NEU 200A-B-C.) These courses are designed for graduate students in the neurosciences and other departments that are part of the interdisciplinary program (i.e., Biology, Cognitive Science). These courses have been designed to cover as much basic neuroscience as possible in three quarters of study. These are required courses for all first-year neurosciences graduate students."
football,NO RESULTS,NO RESULTS,NO RESULTS
football,NO RESULTS,NO RESULTS,NO RESULTS
forensics,MGT 143,Forensic Accounting,"Course covers key forensic accounting concepts including fraudulent financial reporting, money laundering, business valuation, and litigation support. Learning objectives are the application of analytical accounting and communication skills in identifying and presenting financial issues in both criminal and civil litigation."
forensics,MGTP 432,Advanced Auditing and Forensic Accounting,"Provides students with applied knowledge on how assurance professionals assess and evaluate assurance-related evidence and risks. Topics include strategic risk analysis, corporate governance, internal control assessments, audit sampling, modified audit reports, and fraud detection."
forensics,SE 282,Diagnostic Imaging,"This course provides an introduction to diagnostic imaging with a focus on forensic engineering. A broad range of imaging techniques are studied, enabling multidimensional analysis of engineered artifacts and detection of conditions that may lead to undesirable performance characteristics or failure, identify the onset of failure, failure progression, and failure mechanisms overall."
forensics,NO RESULTS,NO RESULTS,NO RESULTS
forensics,NO RESULTS,NO RESULTS,NO RESULTS
forestry,SE 154,Design of Timber Structures,Properties of wood and lumber grades. Beam design. Design of axially loaded members. Design of beam-column. Properties of plywood and structural-use panels. Design of horizontal diaphragms. Design of shear walls. Design of nailed and bolted connections.
forestry,POLI 125E,The Politics of Conservation in Developing Countries,"Conservation in developing countries concerns resources that are extremely important to policymakers, militaries, environmental organizations, communities, and individuals. This course examines these groups' struggle for control over wildlife and forests—from the capital to the village—on several continents."
forestry,BIEB 126,Plant Ecology,"This course begins with an introduction to plant population biology including whole-plant growth and physiology. We then focus on three classes of ecological interactions: plant-plant competition, plant-herbivore coevolution, and plant reproductive ecology including animal pollination and seed dispersal."
forestry,NO RESULTS,NO RESULTS,NO RESULTS
forestry,NO RESULTS,NO RESULTS,NO RESULTS
fourier analysis,MATH 144,Introduction to Fourier Analysis,"Rigorous introduction to the theory of Fourier series and Fourier transforms. Topics include basic properties of Fourier series, mean square and pointwise convergence, Hilbert spaces, applications of Fourier series, the Fourier transform on the real line, inversion formula, Plancherel formula, Poisson summation formula, Heisenberg uncertainty principle, applications of the Fourier transform."
fourier analysis,MATH 242,Topics in Fourier Analysis,"In recent years, topics have included Fourier analysis in Euclidean spaces, groups, and symmetric spaces. May be repeated for credit with consent of adviser as topics vary."
fourier analysis,DSC 120,Signal Processing for Data Analysis,"This course will focus on ideas from classical and modern signal processing, with the main themes of sampling continuous data and building informative representations using orthonormal bases, frames, and data dependent operators. Topics include sampling theory, Fourier analysis, lossy transformations and compression, time and spatial filters, and random Fourier features and connections to kernel methods. Sources of data include time series and streaming signals and various imaging modalities."
fourier analysis,MATH 120B,Applied Complex Analysis,"Applications of the residue theorem. Conformal mapping and applications to potential theory, flows, and temperature distributions. Fourier transformations. Laplace transformations, and applications to integral and differential equations. Selected topics such as Poisson’s formula, Dirichlet’s problem, Neumann’s problem, or special functions."
fourier analysis,MATH 220A,Complex Analysis,"Complex numbers and functions. Cauchy theorem and its applications, calculus of residues, expansions of analytic functions, analytic continuation, conformal mapping and Riemann mapping theorem, harmonic functions. Dirichlet principle, Riemann surfaces."
game theory,ECON 109,Game Theory,"Introduction to game theory. Analysis of people’s decisions when the consequences of the decisions depend on what other people do. This course features applications in economics, political science, and law."
game theory,POLI 204C,Game Theory 1,This course introduces students to the rudiments of decision theory and game theory. Emphasis will be placed on modeling and solving games.
game theory,POLI 205,Game Theory II,"This course covers advanced topics in game theory. Covered topics will include incomplete information in static and dynamic games, infinitely repeated games, and bargaining games. Emphasis will be placed on advanced equilibrium concepts, and applications of interest to political scientists."
game theory,ECON 262,Behavioral Game Theory,This course is intended to give students an introduction to the study of strategic interaction through a behavioral lens. We will review game theory experiments and analyze which theoretical predictions are validated and which are violated in practice. We will characterize the systematic violations of the theory that come from experiments and study how these behavioral regularities can be incorporated into new equilibrium concepts.
game theory,POLI 118,Game Theory in Political Science,"This course introduces students to game theory and its uses in political science. Topics covered include the concepts of Nash equilibrium, dominant strategies, subgame perfection and backwards induction, and the applications of those concepts to the study of voting, electoral competition, public goods provision, legislatures, and collective action. An emphasis is placed on developing students’ analytical reasoning and problem-solving skills through weekly problem sets and in-class exercises."
genetic algorithm,COGS 186,Genetic Algorithms,"This course will teach in detail some of the key biology-inspired AI algorithms. It will cover genetic algorithms (GA), particle swarm optimization algorithms (PSO), and other optimization algorithms like simulated annealing and gradient descent."
genetic algorithm,COGS 188,Artificial Intelligence Algorithms,This class will cover a broad spectrum of machine learning algorithms. It builds on students’ previous exposure to machine learning. It covers new artificial intelligence algorithms ranging from topic models as used in the text data analysis to genetic algorithms. Students will not receive credit for both COGS 188 and CSE 151A.
genetic algorithm,CSE 280A,Algorithms in Computational Biology,"(Formerly CSE 206B.) The course focuses on algorithmic aspects of modern bioinformatics and covers the following topics: computational gene hunting, sequencing, DNA arrays, sequence comparison, pattern discovery in DNA, genome rearrangements, molecular evolution, computational proteomics, and others."
genetic algorithm,ECE 208,Computational Evolutionary Biology,"Evolutionary biology (e.g., the study of the tree of life) uses computational methods from statistics and machine learning. We cover methods of broad use in many fields and apply them to biology, focusing on scalability to big genomic data. Topics include dynamic programming, continuous time Markov models, hidden Markov models, statistical inference of phylogenies, sequence alignment, uncertainty (e.g., bootstrapping), and heterogeneity (e.g., phylogenetic mixture models)."
genetic algorithm,CSE 257,Search and Optimization,"The course will cover core algorithms for sequential decision-making problems in autonomous systems. Topics include heuristic search, Monte Carlo search, deep reinforcement learning, nonlinear optimization, mixed-integer optimization, and stochastic optimization."
genetics,BICD 100,Genetics,"An introduction to the principles of heredity emphasizing diploid organisms. Topics include Mendelian inheritance and deviations from classical Mendelian ratios, pedigree analysis, gene interactions, gene mutation, linkage and gene mapping, reverse genetics, population genetics, and quantitative genetics. Students may receive credit for one of the following: BICD 100 or BICD 100R."
genetics,BICD 100R,Genetics,"An introduction to the principles of heredity emphasizing diploid organisms. Topics include Mendelian inheritance and deviations from classical Mendelian ratios, pedigree analysis, gene interactions, gene mutation, linkage and gene mapping, reverse genetics, population genetics, and quantitative genetics. This course is a distance education course. Students may receive credit for one of the following: BICD 100 or BICD 100R."
genetics,BIOM 252,Genetics and Genomics,"This course will examine the basic principles of genetics and genomics. We will focus on classic discoveries and examples of approaches to current experimental problems. Emphasis areas will vary but general topics include Mendelian inheritance, imprinting, cytogenetics, genome structure, genetic variation, linkage and recombination, complex traits, statistical genetics, population genetics, genomic tools and methodology, medical genetics, model organisms."
genetics,SOCI 138,Genetics and Society,"The class will first examine the direct social effects of the “genetic revolution”: eugenics, genetic discrimination, and stratification. Second, the implications of thinking of society in terms of genetics, specifically—sociobiology, social Darwinism, evolutionary psychology, and biology."
genetics,SOCI 138GS,Genetics and Society,"This course explores how genetics shapes public thinking and policy on topics like health and disability, reproduction, intelligence, delinquency, personal identity, and race and ethnicity. We will also see how social forces shape genetics research itself, and discuss controversies around gene patenting, cloning, newborn screening, eugenics, and genetic testing for disease, risk, and ancestry. Our discussions and field trips in Edinburgh will help us grasp genetics and society here in the U.S."
hiphop,MUS 17,Hip-Hop,This class presents a broad chronological overview of the development of hip-hop as a musical form from the late 1970s through today. It examines the development of the style in relation to direct context and to earlier African American musical and cultural forms and considers the technological and legal issues that have impacted its development. The class is listening intensive and students will be expected to know and recognize essential structures and production techniques.
hiphop,TDMV 138,Beginning Hip-Hop,"An introduction to the basic technique of hip-hop, studied to enhance an understanding of the historical cultural content of the American form hip-hop and street dances in current choreography. May be taken for credit four times."
hiphop,TDMV 149,Advanced Hip-Hop,"Develops hip-hop skills at the advanced level with further studies of the social, political, and economic forces at work within hip-hop culture. Emphasis is on complex rhythms and sequencing, freestyle expression, choreography, and performance. May be taken for credit six times."
hiphop,TDMV 148,Intermediate Hip-Hop,"This course is designed to build on the skills developed in TDMV 138, Hip-Hop, also deepening students’ understanding of the social, political, and economic forces at work within hip-hop culture. More complex rhythms and sequencing will be introduced, and musicality will be honed through an added emphasis on freestyle expression. May be taken for credit four times."
hiphop,MUS 152,Hip Hop: The Politics of Culture,"Examination of hip hop’s music, technology, lyrics, and its influence in graffiti, film, music video, fiction, advertising, gender, corporate investment, government, and censorship with a critical focus on race, gender, popular culture, and the politics of creative expression. (Cross-listed with ETHN 128.)"
history,HILD 30,History of Public Health,"Explores the history of public health, from the plague hospitals of Renaissance Italy to the current and future prospects for global health initiatives, emphasizing the complex biological, cultural, and social dimensions of health, sickness, and medicine across time and space."
history,HIGR 206,Histories of the Body,"Historical topics related to the human body, as a target of regulation, a site for the production of knowledge, the locus of an identity shaped by race, gender, and sexuality, and/or in terms of movement across geopolitical boundaries."
history,HILD 30GS,History of Public Health,"Explores the history of public health from the plague hospitals of Renaissance Italy to the current and future prospects for global health initiatives, emphasizing the complex biological, cultural, and social dimensions of health, sickness, and medicine across time and space. Program or materials fees may apply. Students may not receive credit for both HILD 30 and HILD 30GS. Students must apply to and be accepted into the Global Seminar Program."
history,HIAF 120,History of South Africa,"The origins and the interaction between the peoples of South Africa. Special attention will be devoted to industrial development, urbanization, African and Afrikaner nationalism, and the origin and development of apartheid and its consequences."
history,HISC 105,History of Environmentalism,"History of human effects on the natural environment, with emphasis on understanding the roles of the physical and biological sciences in providing insights into environmental processes."
how the internet works,CSE 123,Computer Networks,"Introduction to concepts, principles, and practice of computer communication networks with examples from existing architectures, protocols, and standards with special emphasis on the internet protocols. Layering and the OSI model; physical and data link layers; local and wide area networks; datagrams and virtual circuits; routing and congestion control; internetworking. Transport protocols. Credit may not be received for both CSE 123 and ECE 158A."
