Code,Department,Title,Units,Description,Prerequisites,Level,URL
HISC 175,HISC,The Historical Sciences in the Nineteenth Century,4,"A critical analysis of the host of “historical sciences” that developed over the course of the long nineteenth century, from archaeology and paleontology to psychoanalysis and craniotomy, including the science of history itself. Graduate students will be required to submit an additional paper.",upper-division or graduate standing and department stamp.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HISC+175
HISC 275,HISC,The Historical Sciences in the Nineteenth Century,4,"A critical analysis of the host of “historical sciences” that developed over the course of the long nineteenth century, from archaeology and paleontology to psychoanalysis and craniotomy, including the science of history itself. Graduate students will be required to submit an additional paper.",upper-division or graduate standing and department stamp.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HISC+275
HISC 176,HISC,History of Medicine in East and Southeast Asia,4,This course introduces students to new and classic works in the history of medicine in East and Southeast Asia. Topics will include epidemic disease and state vaccination campaigns; opium and drug control; mental illness and asylums; earthquakes and disaster technologies; colonialism and public health; venereal disease and prostitution. Special emphasis will be placed on the role of experts and institutions and forms of scientific exchange and collaboration across the region.,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HISC+176
HISC 180,HISC,Science and Public Policy,4,"This course will explore the evolution of the institutions, ideologies, procedures, standards, and expertise that modern democratic societies have used in applying science to generate and legitimate public policy.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HISC+180
HISC 280,HISC,Science and Public Policy,4,"This course will explore the evolution of the institutions, ideologies, procedures, standards, and expertise that modern democratic societies have used in applying science to generate and legitimate public policy.",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HISC+280
HISC 198,HISC,Directed Group Study,4,Directed group study on a topic not generally included in the regular curriculum. Students must make arrangements with individual faculty members.,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HISC+198
HISC 199,HISC,Independent Study in the History of Science,4,Directed readings for undergraduates under the supervision of various faculty members.,consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HISC+199
HISC 276,HISC,History of Medicine in East and Southeast Asia,4,This course introduces students to new and classic works in the history of medicine in East and Southeast Asia. Topics will include epidemic disease and state vaccination campaigns; opium and drug control; mental illness and asylums; earthquakes and disaster technologies; colonialism and public health; venereal disease and prostitution. Special emphasis will be placed on the role of experts and institutions and forms of scientific exchange and collaboration across the region.,none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HISC+276
HITO 87,HITO,Special First-year Student Seminar,1,"A seminar intended for exposing undergraduate students, especially first-year students, to exciting research programs conducted by department faculty. Enrollment is limited. Topic will vary quarter by quarter.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+87
HITO 88,HITO,History and Practice of Well-Being,1,"How do people attempt to align their actions with their core values? This one-credit course introduces the recent history and current practice of Buddhist-inspired and neuroscience-informed principles of mindfulness, positive psychology, and cognitive therapy.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+88
HITO 99,HITO,Independent Study on History Topics,"1, 2, 3, 4",Independent study for undergraduates with lower-division standing under the supervision of a member of the faculty on a topic not generally included in the regular curriculum. Students must make arrangements with individual faculty members.,"lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3.0, and a completed and approved Special Studies form.",Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+99
HITO 100,HITO,The Craft of History,4,This course provides history majors with a foundational understanding of the study of history as an academic discipline and of the work of historians.,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+100
HITO 105,HITO,Jewish Modernity from 1648 to 1948,4,"Topics include the political emancipation of the Jews of Europe; the emergence of Reform, Conservative, and Modern Orthodox Judaism; Hasidism; modern anti-Semitism; Jewish socialism; Zionism; the Holocaust; the American Jewish community; the State of Israel.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+105
HITO 106,HITO,Love and Family in the Jewish Past,4,"This course explores Jewish women’s experiences from the seventeenth century to the present, covering Europe, the United States, and Israel. Examines work, marriage, motherhood, spirituality, education, community, and politics across three centuries and three continents.","MMW 11, 12, 13, 14, 15, 21 or 22; or WCWP 10A or 10B; or CAT 1, 2, or 3; or DOC 1, 2 or 3; or HILD 2A, 2B, 2C, 7A, 7B, 7C, 10, 11, 12, or 14; or MCWP 40, 41, 50 or 125; or HUM 1, 2, 3, 4, or 5.",Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+106
HITO 107,HITO,Holocaust Video Production,4,"Students will produce creative video projects by conducting interviews and drawing from relevant texts, lectures, archival resources, and other materials to expand and deepen their understanding of the Holocaust and help contribute to the body of work documenting this period in history.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+107
HITO 115,HITO,The Global Cold War,4,"The Cold War is often understood as a superpower rivalry between the U.S. and the Soviet Union. Yet, the second half of the twentieth century witnessed civil wars, revolutions, decolonization movements, and state violence throughout the world that do not fit in this bipolar framework. Focusing on these other events, this course reexamines the Cold War in global and comparative perspective, with a particular focus on political developments in Asia, Africa, and Latin America.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+115
HITO 115GS,HITO,The Global Cold War,4,"The Cold War is often understood as a superpower rivalry between the U.S. and the Soviet Union. Yet, the second half of the twentieth century witnessed civil wars, revolutions, decolonization movements, and state violence throughout the world that do not fit in this bipolar framework. Focusing on these other events, this course reexamines the Cold War in global and comparative perspective, with a particular focus on political developments in Asia, Africa, and Latin America.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+115GS
HITO 115S,HITO,"Myth, History, and Archaeology",4,Sources for reconstructing ancient history present special challenges. Introduce and examine critically some basic myths and chronicles of the eastern Mediterranean and ancient Near East and assess the challenges to today’s historian in reconstructing these histories.,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+115S
HITO 116,HITO,Car Wars: A Global History of the World since 1900 through Cars,4,"How did cars come to dominate the world? This course provides a survey of the world since 1900 to the near future through the history of cars and their impacts on politics, economics, society, and the environment.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+116
HITO 117,HITO,World History 1200–1800,4,"This course examines the interaction between sections of the globe after 1200. It emphasizes factors operating on a transcontinental scale (disease, climate, migration) and historical/cultural phenomena that bridge distance (religion, trade, urban systems). This is not narrative history, but a study of developments that operated on a global scale and constituted the first phase of globalization. +",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+117
HITO 119,HITO,Human Rights l: Introduction to Human Rights and Global Justice,4,"Explores where human rights come from and what they mean by integrating them into a history of modern society, from the Conquest of the Americas and the origins of the Enlightenment, to the Holocaust and the contemporary human rights regime.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+119
HMNR 100,HMNR,Human Rights l: Introduction to Human Rights and Global Justice,4,"Explores where human rights come from and what they mean by integrating them into a history of modern society, from the Conquest of the Americas and the origins of the Enlightenment, to the Holocaust and the contemporary human rights regime.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HMNR+100
SOC 174,SOC,Human Rights l: Introduction to Human Rights and Global Justice,4,"Explores where human rights come from and what they mean by integrating them into a history of modern society, from the Conquest of the Americas and the origins of the Enlightenment, to the Holocaust and the contemporary human rights regime.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SOC+174
HITO 123,HITO,The Global History of Soccer,4,The most popular sport in the world is soccer. The game’s growth and expansion was thoroughly enmeshed with the spread of modernity. It was a product of the industrial and political revolutions of the nineteenth and twentieth centuries. It has been an engine of nationalism and gender formation. The link of this sport to politics will be a central theme.,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+123
HITO 126,HITO,A History of Childhood,4,"This course will examine the different ways that attitudes toward children have changed throughout history. By focusing on the way that the child was understood, we will examine the changing role of the family, the role of culture in human development, and the impact of industrialization and modern institutions on the child and childhood.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+126
HITO 133,HITO,War and Society: The Second World War,4,"An examination of the Second World War in Europe, Asia, and the United States. Focus will be on the domestic impact of the war on the belligerent countries as well as on the experiences of ordinary soldiers and civilians.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+133
HITO 133D,HITO,War and Society: The Second World War,4,"An examination of the Second World War in Europe, Asia, and the United States. Focus will be on the domestic impact of the war on the belligerent countries as well as on the experiences of ordinary soldiers and civilians.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+133D
HITO 134,HITO,International Law—War Crimes and Genocide,4,"Comparative study of genocide and war crimes, stressing European developments since 1900 with reference to cases elsewhere. Topics include historical precedents; evolving legal concepts; and enforcement mechanisms. Emphasis on the Holocaust, the USSR under Stalin, ex-Yugoslavia, and the Armenian genocide. Students may not receive credit for both HITO 134 and ERC 102.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+134
HITO 136,HITO,"Jews and African Americans: Slavery, Diaspora, Ghetto",4,"Explore contrasts and parallels between African Americans and Jews from the seventeenth century to the present. Investigate slavery, the Civil War, shared music, political movements, urban geography, and longings to return to a homeland in Africa or Palestine.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+136
HITO 140,HITO,History of Emotions,4,"An examination of the history of emotions from the early modern period to the present with a focus on Europe and North America. Analysis of different approaches to emotions as well as of specific emotions (love, honor, shame, fear, guilt).",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+140
HITO 150GS,HITO,The Scottish Enlightenment and the Founding of the United States,4,"A lecture-discussion course on the philosophical, political, and economic ideas that shaped the Scottish Enlightenment in the eighteenth century, especially the ideas of David Hume, Adam Smith, and John Witherspoon, and their impact upon the American Revolution and the Constitution of the United States.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+150GS
HITO 155,HITO,"Race, Sport, and Inequality in the Twentieth Century",4,"This course tracks the worldwide interplay of sport and race. We begin with patterns of exclusion and participation on the part of African Americans, Latinos, and Native Americans. We then examine patterns of inequality across the globe.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+155
HITO 156,HITO,"Diversity, Equity, and Inclusion in the United States and Europe: Multiple Multiculturalisms",4,"Comparative study of American and European multicultural politics and policy, focusing on developments since 1945. Coverage includes policies aimed at members of the African American, Native American, Latino/Chicano/Hispanic, and Asian/Pacific Islander communities and comparable European groups. Students will not receive credit for both HITO 156 and HITO 156GS.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+156
HITO 156GS,HITO,"Diversity, Equity, and Inclusion in the United States and Europe: Multiple Multiculturalisms",4,"Comparative study of America and European multicultural politics and policy, focusing on developments since 1945. Coverage includes policies aimed at members of the African American, Native American, Latino/Chicano/Hispanic, and Asian/Pacific Islander communities and comparable European groups. Students must submit applications to the International Center, Programs Abroad Office, and be accepted into the Global Seminar Program. Program or materials fees may apply. Students will not receive credit for both HITO 156 and HITO 156GS.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+156GS
HITO 160GS,HITO,Globalization and Diaspora,4,"A course on Hong Kong’s political, economic, and cultural transformation alongside its incorporation into the global capitalist economy, with a focus on transnational migrants laboring and living in diaspora. Topics include Opium Wars, world system, export-processing zones, and anti-globalization movements. Students must submit applications to the International Center, Programs Abroad Office, and be accepted into the Global Seminar Program. Program or materials fees may apply.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+160GS
HITO 164,HITO,Jews and Other Ethnics in the American Past,4,"In this course we compare the Jewish experience to other religious minorities in American history. Topics include motives and rates of immigration, education and work patterns, religious experiences, women’s roles, family life, and representations in popular and high culture.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+164
HITO 264,HITO,Jews and Other Ethnics in the American Past,4,"In this course we compare the Jewish experience to other religious minorities in American history. Topics include motives and rates of immigration, education and work patterns, religious experiences, women’s roles, family life, and representations in popular and high culture.",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+264
HITO 165,HITO,Topics—LGBT History,4,"Topics will examine lesbian, gay, bisexual, transgender, and queer identities, communities, culture, and politics. May be repeated for credit two times, provided each course is a separate topic, for a maximum of twelve units.",upper-division standing and department stamp.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+165
HITO 265,HITO,Topics—LGBT History,4,"Topics will examine lesbian, gay, bisexual, transgender, and queer identities, communities, culture, and politics. May be repeated for credit two times, provided each course is a separate topic, for a maximum of twelve units.",upper-division standing and department stamp.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+265
HITO 166,HITO,Death Penalty Global Perspectives since 1492,4,"From early modern witches, rebels, and heretics to hypermodern gangsters, terrorists, and serial killers, applying capital punishment to foreign nationals and ethnic minorities has sustained a global conversation about the sanctity of human life and the meaning of citizenship in the Americas and Europe. Graduate students must complete an additional paper.",upper-division or graduate standing and department stamp.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+166
HITO 266,HITO,Death Penalty Global Perspectives since 1492,4,"From early modern witches, rebels, and heretics to hypermodern gangsters, terrorists, and serial killers, applying capital punishment to foreign nationals and ethnic minorities has sustained a global conversation about the sanctity of human life and the meaning of citizenship in the Americas and Europe. Graduate students must complete an additional paper.",upper-division or graduate standing and department stamp.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+266
HITO 167,HITO,Global History of Sports in the Cold War,4,"This course will examine what has been called the Cultural Cold Wars. Sports were the most visible form of popular culture during the era (1945–91). It will make use of reports and essays produced for an international, multiyear research project. It will combine written and visual sources. Matters of class, race, gender, and nationality will be discussed. May be coscheduled with HITO 267.",upper-division or graduate standing and department stamp.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+167
HITO 267,HITO,Global History of Sports in the Cold War,4,"This course will examine what has been called the Cultural Cold Wars. Sports were the most visible form of popular culture during the era (1945–91). It will make use of reports and essays produced for an international, multiyear research project. It will combine written and visual sources. Matters of class, race, gender, and nationality will be discussed. May be coscheduled with HITO 267.",upper-division or graduate standing and department stamp.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+267
HITO 168,HITO,The U,4,"The course analyzes mutual influences and exchanges between the United States and Germany from the late nineteenth to the mid-twentieth century. Topics include imperialism and racism, social thought and intellectual migration, economic relations, feminism, and youth cultures, war, and occupation. Graduate students must complete an additional paper.",upper-division or graduate standing and department stamp.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+168
HITO 268,HITO,The U,4,"The course analyzes mutual influences and exchanges between the United States and Germany from the late nineteenth to the mid-twentieth century. Topics include imperialism and racism, social thought and intellectual migration, economic relations, feminism, and youth cultures, war, and occupation. Graduate students must complete an additional paper.",upper-division or graduate standing and department stamp.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+268
HITO 170,HITO,Making History Popular,4,"This undergraduate seminar serves to train students to produce marketable historical content for a public audience. Students will develop effective writing and oral presentation skills through exercises like planning, pitching, and writing op-eds, short magazine articles, and longer-form writing, as well as outlining and creating podcasts, videos, or virtual exhibitions.",upper-division or graduate standing and department stamp.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+170
HITO 172,HITO,War in the Twentieth Century: A Psychological Approach,4,"Reckoning by novelists, essayists, and biographers with the phenomenon of contemporary warfare as an unprecedented experience and an abiding threat. Graduate students are required to submit a more substantial piece of work.",upper-division or graduate standing and department stamp.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+172
HITO 272,HITO,War in the Twentieth Century: A Psychological Approach,4,"Reckoning by novelists, essayists, and biographers with the phenomenon of contemporary warfare as an unprecedented experience and an abiding threat. Graduate students are required to submit a more substantial piece of work.",upper-division or graduate standing and department stamp.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+272
HITO 178,HITO,A History of Seafaring in the Age of Sail,4,"Taught in conjunction with the San Diego Maritime Museum, this course investigates life at sea from the age of discovery to the advent of the steamship. We will investigate discovery, technology, piracy, fisheries, commerce, naval conflict, sea-board life, and seaport activity.",upper-division or graduate standing and department stamp. +,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+178
HITO 278,HITO,A History of Seafaring in the Age of Sail,4,"Taught in conjunction with the San Diego Maritime Museum, this course investigates life at sea from the age of discovery to the advent of the steamship. We will investigate discovery, technology, piracy, fisheries, commerce, naval conflict, sea-board life, and seaport activity.",upper-division or graduate standing and department stamp. +,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+278
HITO 180,HITO,Housing in the Developing World,4,"The majority of the world’s citizens now live in cities; this course examines the evolution of housing architecture and finance in the twentieth-century context of rapid urbanization, dissolving empire, industrialization, and globalization. Graduate students will submit a more substantial piece of work with in-depth analysis and with an increased number of sources cited. A typical undergraduate paper would be ten pages, whereas a typical graduate paper would require engagement with primary sources, more extensive reading of secondary material, and be about twenty pages.",upper-division or graduate standing and consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+180
HITO 280,HITO,Housing in the Developing World,4,"The majority of the world’s citizens now live in cities; this course examines the evolution of housing architecture and finance in the twentieth-century context of rapid urbanization, dissolving empire, industrialization, and globalization. Graduate students will submit a more substantial piece of work with in-depth analysis and with an increased number of sources cited. A typical undergraduate paper would be ten pages, whereas a typical graduate paper would require engagement with primary sources, more extensive reading of secondary material, and be about twenty pages.",upper-division or graduate standing and consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+280
HITO 192,HITO,Senior Seminar in History,1,"The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in history (at the upper-division level). Topics will vary from quarter to quarter. Senior Seminars may be taken for credit up to four times, with a change in topic, and permission of the department. Enrollment is limited to twenty students, with preference given to seniors.",department stamp and/or consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+192
HITO 193,HITO,"Research Seminar in Washington, DC",6,Course attached to six-unit internship taken by student participating in the UCDC program. Involves weekly seminar meetings with faculty and teaching assistant and a substantial historical research paper.,department stamp required; participating in UCDC program.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+193
POLI 194,POLI,"Research Seminar in Washington, DC",6,Course attached to six-unit internship taken by student participating in the UCDC program. Involves weekly seminar meetings with faculty and teaching assistant and a substantial historical research paper.,department stamp required; participating in UCDC program.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=POLI+194
COM GEN 194,COM,"Research Seminar in Washington, DC",6,Course attached to six-unit internship taken by student participating in the UCDC program. Involves weekly seminar meetings with faculty and teaching assistant and a substantial historical research paper.,department stamp required; participating in UCDC program.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=COM+GEN+194
USP 194,USP,"Research Seminar in Washington, DC",6,Course attached to six-unit internship taken by student participating in the UCDC program. Involves weekly seminar meetings with faculty and teaching assistant and a substantial historical research paper.,department stamp required; participating in UCDC program.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=USP+194
HITO 194,HITO,History Honors,4,"A program of independent study providing candidates for history honors an opportunity to develop, in consultation with an adviser, a preliminary proposal for the honors essay. An IP grade will be awarded at the end of this quarter. A final grade will be given for both quarters at the end of HITO 195.",consent of instructor. Department stamp required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+194
HITO 195,HITO,The Honors Essay,4,Independent study under the supervision of a faculty member leading to the preparation of an honors essay. A letter grade for both HITO 194 and 195 will be given at the completion of this quarter.,consent of instructor. Department stamp required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+195
HITO 196,HITO,Honors Seminar,4,The nature and uses of history are explored through the study of the historian’s craft based on critical analysis of historical literature relating to selected topics of concern to all historians. Required of all candidates for history honors and open to other interested students with the instructor’s consent. Department stamp required.,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+196
HITO 198,HITO,Directed Group Study,1–4,Directed group study on a topic not generally included in the regular curriculum. Students must make arrangements with individual faculty members. (P/NP grades only.),"upper-division standing, completion of at least ninety units of UC San Diego undergraduate study, a minimum G.P.A. of 2.5, and a completed and approved Special Studies form.",Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+198
HITO 199,HITO,Independent Study in Historical Topics,4,Independent study on a topic not generally included in the regular curriculum. Students must make arrangements with individual faculty members. (P/NP grades only.),consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+199
HITO 274,HITO,The Foundations of Constitutional Law,4,"Medieval and early modern origins of constitutional ideas and institutions. The question of the course is: Where did the ideas and institutions embodied in the constitutions of the U.S. (1787) and of France (1791) come from? Requirements will vary for undergraduate, MA, and PhD students. Graduate students are required to submit a more substantial piece of work.",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HITO+274
HIUS 102,HIUS,Chicana and Chicano Movement,4,"This course provides a critical examination of the Chicana/o movement of the 1960s and 1970s. The course will focus on the social, economic, and political factors that contributed to the formation of the collective struggle known as El Movimiento. Topics engaged in this course are racism, education, political disenfranchisement, immigration, labor, sexism, art and poetry, Chicana feminism, anti-war efforts, economic justice, religion, and interracial relations.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+102
HIUS 104,HIUS,The Revolutionary Atlantic,4,"The upheavals that transformed the early modern Atlantic emphasizing the United States, Caribbean, and Great Britain. Topics: struggles to define democracy, the reorganization of the Atlantic state system, the Enlightenment, and international responses to the American and French Revolutions. +",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+104
HIUS 105,HIUS,Chicanas and Latinas: Twentieth-Century US History,4,"This course examines the historical experiences of Chicanas, Puertorriqueñas, and Centroamericanas in the U.S. in the twentieth century. It explores the social, economic, and political conditions of everyday Chicanas and Latinas and the agency they exerted navigating and negotiating these realities. Topics include immigration, migration, community formation, gender and sexuality, labor organizing, grassroots activism, social movements, feminism, and criminalization and incarceration.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+105
HIUS 106,HIUS,Women of Color and Social Movements,4,"This course examines Chicana, Latina, African American, and Native American women’s leadership, influence, and participation within social movements in the U.S. Special emphasis will be placed on women of color feminist consciousness and their involvement in the civil rights; Black, Red, and Brown power movements; welfare rights and economic justice; and reproductive justice struggles such as battles against forced sterilization.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+106
HIUS 106A,HIUS,"American Foreign Relations, to 1900",4,"Course examines range of public and private interactions between the United States and the world, from the founding of the republic to the Spanish-American War. Topics include origins of federal foreign policy making power, territorial and commercial and ideological expansionism.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+106A
HIUS 106B,HIUS,"American Foreign Relations, since 1900",4,Examines foreign relations of the United States from acquisition of a formal overseas empire in the aftermath of the Spanish-American War to the end of the Cold War. Topics cover a range of public and private interactions with the world.,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+106B
HIUS 106S,HIUS,Apocalyptic Judaism,4,Examine the development of apocalyptic Jewish movements in the Second Temple period and the influence these movements had on Rabbinic Judaism and early Christianity.,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+106S
HIUS 108A,HIUS,History of Native Americans in the United States I,4,"This course examines the history of the Native Americans in the United States with emphasis on the lifeways, mores, warfare, cultural adaptation, and relations with the European colonial powers and the emerging United States until 1870. +",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+108A
HIUS 108B,HIUS,History of Native Americans in the United States II,4,"This course examines the history of the Native Americans in the United States with emphasis on the lifeways, mores, warfare, cultural adaptation, and relations with the United States from 1870 to the present.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+108B
HIUS 110,HIUS,America and the World: Revolution to World War I,4,"A lecture course that explores the evolution of the interaction between the United States and the world from the American Revolution to the First World War, with particular emphasis upon the role of diplomacy, war, and economic change.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+110
HIUS 111,HIUS,America and the World: World War I to the Present,4,"A lecture course that explores the evolution of the interaction between the United States and the world from 1914 to the present, with special attention to the era of the Great Depression, the Cold War, Vietnam, and the post 9/11 war on terror.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+111
HIUS 112,HIUS,The US Civil War,4,"The course addresses the causes, course, and consequences of the US Civil War. We will explore such themes as how Unionists and Confederates mobilized their populations and dealt with dissension, the war’s effects on gender and race relations, and the transformation of the federal government.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+112
HIUS 113,HIUS,History of Mexican America,4,"This course explores the history of the largest minority population in the United States, focusing on the legacies of the Mexican War, the history of Mexican immigration and US-Mexican relations, and the struggle for citizenship and civil rights.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+113
HIUS 114A,HIUS,California History 1542–1850,4,This course surveys the history of California from the period just before Spanish contact in 1542 through California’s admission to the Union in 1850. +,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+114A
HIUS 114B,HIUS,"California History, 1850–Present",4,This course surveys the history of California from 1850 to the present.,none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+114B
HIUS 115,HIUS,History of Sexuality in the United States,4,"Constructions of sex and sexuality in the United States from the time of precontact Native America to the present, focusing on sexual behaviors, sexual ideologies, and the uses of sexuality for social control.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+115
HIUS 117,HIUS,History of Los Angeles,4,"This course examines the history of Los Angeles from the early nineteenth century to the present. Particular issues to be addressed include urbanization, ethnicity, politics, technological change, and cultural diversification.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+117
USP 168,USP,History of Los Angeles,4,"This course examines the history of Los Angeles from the early nineteenth century to the present. Particular issues to be addressed include urbanization, ethnicity, politics, technological change, and cultural diversification.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=USP+168
HIUS 118,HIUS,How Jews Became American,4,"This course explores the history of Jews in America from the colonial period to the present, focusing on both the development of Jewish communities primarily as a result of immigration and evolving relations between Jews and the larger American society.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+118
